Chromosome,Type,Start,End,Strand,ID,Alias,Name,Derivation
chr1,miRNA_primary_transcript,74206554,74206620,-,MI0009917,MI0009917,mmu-mir-1928,NA
chr1,miRNA,74206562,74206578,-,MIMAT0009391,MIMAT0009391,mmu-miR-1928,MI0009917
chr1,miRNA_primary_transcript,74394310,74394394,+,MI0000575,MI0000575,mmu-mir-26b,NA
chr1,miRNA,74394324,74394344,+,MIMAT0000534,MIMAT0000534,mmu-miR-26b-5p,MI0000575
chr1,miRNA,74394360,74394381,+,MIMAT0004630,MIMAT0004630,mmu-miR-26b-3p,MI0000575
chr1,miRNA_primary_transcript,74900658,74900721,-,MI0000792,MI0000792,mmu-mir-375,NA
chr1,miRNA,74900696,74900717,-,MIMAT0017078,MIMAT0017078,mmu-miR-375-5p,MI0000792
chr1,miRNA,74900661,74900682,-,MIMAT0000739,MIMAT0000739,mmu-miR-375-3p,MI0000792
chr1,miRNA_primary_transcript,76509560,76509643,+,MI0021871,MI0021871,mmu-mir-6343,NA
chr1,miRNA,76509620,76509641,+,MIMAT0025086,MIMAT0025086,mmu-miR-6343,MI0021871
chr1,miRNA_primary_transcript,77496653,77496768,-,MI0021880,MI0021880,mmu-mir-6352,NA
chr1,miRNA,77496731,77496752,-,MIMAT0025095,MIMAT0025095,mmu-miR-6352,MI0021880
chr1,miRNA_primary_transcript,82131916,82132019,+,MI0021872,MI0021872,mmu-mir-6344,NA
chr1,miRNA,82131926,82131947,+,MIMAT0025087,MIMAT0025087,mmu-miR-6344,MI0021872
chr1,miRNA_primary_transcript,84218849,84218961,-,MI0021881,MI0021881,mmu-mir-6353,NA
chr1,miRNA,84218926,84218948,-,MIMAT0025096,MIMAT0025096,mmu-miR-6353,MI0021881
chr1,miRNA_primary_transcript,84695839,84695915,+,MI0018038,MI0018038,mmu-mir-5126,NA
chr1,miRNA,84695890,84695911,+,MIMAT0020637,MIMAT0020637,mmu-miR-5126,MI0018038
chr1,miRNA_primary_transcript,85751948,85752074,+,MI0026024,MI0026024,mmu-mir-8096,NA
chr1,miRNA,85751983,85752002,+,MIMAT0031398,MIMAT0031398,mmu-miR-8096,MI0026024
chr1,miRNA_primary_transcript,86351981,86352127,-,MI0026036,MI0026036,mmu-mir-3535,NA
chr1,miRNA,86352062,86352087,-,MIMAT0031410,MIMAT0031410,mmu-miR-3535,MI0026036
chr1,miRNA_primary_transcript,92464483,92464542,-,MI0022747,MI0022747,mmu-mir-6900,NA
chr1,miRNA,92464514,92464537,-,MIMAT0027700,MIMAT0027700,mmu-miR-6900-5p,MI0022747
chr1,miRNA,92464483,92464503,-,MIMAT0027701,MIMAT0027701,mmu-miR-6900-3p,MI0022747
chr1,miRNA_primary_transcript,92850378,92850443,+,MI0000171,MI0000171,mmu-mir-149,NA
chr1,miRNA,92850381,92850403,+,MIMAT0000159,MIMAT0000159,mmu-miR-149-5p,MI0000171
chr1,miRNA,92850421,92850442,+,MIMAT0016990,MIMAT0016990,mmu-miR-149-3p,MI0000171
chr1,miRNA_primary_transcript,93274549,93274610,+,MI0022748,MI0022748,mmu-mir-6901,NA
chr1,miRNA,93274554,93274573,+,MIMAT0027702,MIMAT0027702,mmu-miR-6901-5p,MI0022748
chr1,miRNA,93274585,93274604,+,MIMAT0027703,MIMAT0027703,mmu-miR-6901-3p,MI0022748
chr1,miRNA_primary_transcript,93346092,93346155,+,MI0022749,MI0022749,mmu-mir-6902,NA
chr1,miRNA,93346097,93346118,+,MIMAT0027704,MIMAT0027704,mmu-miR-6902-5p,MI0022749
chr1,miRNA,93346135,93346155,+,MIMAT0027705,MIMAT0027705,mmu-miR-6902-3p,MI0022749
chr1,miRNA_primary_transcript,93352158,93352285,+,MI0021873,MI0021873,mmu-mir-6345,NA
chr1,miRNA,93352191,93352211,+,MIMAT0025088,MIMAT0025088,mmu-miR-6345,MI0021873
chr1,miRNA_primary_transcript,106546496,106546631,-,MI0026016,MI0026016,mmu-mir-3473f,NA
chr1,miRNA,106546536,106546555,-,MIMAT0031390,MIMAT0031390,mmu-miR-3473f,MI0026016
chr1,miRNA_primary_transcript,118954220,118954300,+,MI0021874,MI0021874,mmu-mir-6346,NA
chr1,miRNA,118954278,118954299,+,MIMAT0025089,MIMAT0025089,mmu-miR-6346,MI0021874
chr1,miRNA_primary_transcript,128202361,128202430,+,MI0000155,MI0000155,mmu-mir-128-1,NA
chr1,miRNA,128202369,128202389,+,MIMAT0016982,MIMAT0016982,mmu-miR-128-1-5p,MI0000155
chr1,miRNA,128202404,128202424,+,MIMAT0000140,MIMAT0000140,mmu-miR-128-3p,MI0000155
chr1,miRNA_primary_transcript,132198088,132198184,+,MI0000646,MI0000646,mmu-mir-135b,NA
chr1,miRNA,132198103,132198125,+,MIMAT0000612,MIMAT0000612,mmu-miR-135b-5p,MI0000646
chr1,miRNA,132198142,132198163,+,MIMAT0017044,MIMAT0017044,mmu-miR-135b-3p,MI0000646
chr1,miRNA_primary_transcript,133726558,133726645,-,MI0022750,MI0022750,mmu-mir-6903,NA
chr1,miRNA,133726619,133726640,-,MIMAT0027706,MIMAT0027706,mmu-miR-6903-5p,MI0022750
chr1,miRNA,133726564,133726583,-,MIMAT0027707,MIMAT0027707,mmu-miR-6903-3p,MI0022750
chr1,miRNA_primary_transcript,134946234,134946299,-,MI0040615,MI0040615,mmu-mir-5104b,NA
chr1,miRNA,134946278,134946299,-,MIMAT0049821,MIMAT0049821,mmu-miR-5104b-5p,MI0040615
chr1,miRNA_primary_transcript,135454603,135454683,-,MI0019183,MI0019183,mmu-mir-1231,NA
chr1,miRNA,135454661,135454683,-,MIMAT0022357,MIMAT0022357,mmu-miR-1231-5p,MI0019183
chr1,miRNA,135454603,135454625,-,MIMAT0022358,MIMAT0022358,mmu-miR-1231-3p,MI0019183
chr1,miRNA_primary_transcript,137966455,137966541,+,MI0000697,MI0000697,mmu-mir-181a-1,NA
chr1,miRNA,137966468,137966490,+,MIMAT0000210,MIMAT0000210,mmu-miR-181a-5p,MI0000697
chr1,miRNA,137966508,137966529,+,MIMAT0000660,MIMAT0000660,mmu-miR-181a-1-3p,MI0000697
chr1,miRNA_primary_transcript,137966639,137966718,+,MI0000723,MI0000723,mmu-mir-181b-1,NA
chr1,miRNA,137966650,137966673,+,MIMAT0000673,MIMAT0000673,mmu-miR-181b-5p,MI0000723
chr1,miRNA,137966690,137966710,+,MIMAT0017067,MIMAT0017067,mmu-miR-181b-1-3p,MI0000723
chr1,miRNA_primary_transcript,151442393,151442450,+,MI0025030,MI0025030,mmu-mir-7682,NA
chr1,miRNA,151442393,151442416,+,MIMAT0029884,MIMAT0029884,mmu-miR-7682-5p,MI0025030
chr1,miRNA,151442430,151442450,+,MIMAT0029885,MIMAT0029885,mmu-miR-7682-3p,MI0025030
chr1,miRNA_primary_transcript,153899926,153900036,+,MI0026046,MI0026046,mmu-mir-8114,NA
chr1,miRNA,153899989,153900009,+,MIMAT0031420,MIMAT0031420,mmu-miR-8114,MI0026046
chr1,miRNA_primary_transcript,158505625,158505733,+,MI0004633,MI0004633,mmu-mir-488,NA
chr1,miRNA,158505651,158505671,+,MIMAT0003449,MIMAT0003449,mmu-miR-488-5p,MI0004633
chr1,miRNA,158505689,158505709,+,MIMAT0003450,MIMAT0003450,mmu-miR-488-3p,MI0004633
chr1,miRNA_primary_transcript,159340358,159340423,+,MI0016971,MI0016971,mmu-mir-1843b,NA
chr1,miRNA,159340362,159340382,+,MIMAT0019345,MIMAT0019345,mmu-miR-1843b-5p,MI0016971
chr1,miRNA,159340400,159340419,+,MIMAT0019346,MIMAT0019346,mmu-miR-1843b-3p,MI0016971
chr1,miRNA_primary_transcript,160295864,160295972,-,MI0009914,MI0009914,mmu-mir-1927,NA
chr1,miRNA,160295885,160295907,-,MIMAT0009390,MIMAT0009390,mmu-miR-1927,MI0009914
chr1,miRNA_primary_transcript,162217814,162217923,+,MI0000713,MI0000713,mmu-mir-199a-2,NA
chr1,miRNA,162217844,162217866,+,MIMAT0000229,MIMAT0000229,mmu-miR-199a-5p,MI0000713
chr1,miRNA,162217883,162217904,+,MIMAT0000230,MIMAT0000230,mmu-miR-199a-3p,MI0000713
chr1,miRNA_primary_transcript,162223368,162223477,+,MI0000698,MI0000698,mmu-mir-214,NA
chr1,miRNA,162223397,162223418,+,MIMAT0004664,MIMAT0004664,mmu-miR-214-5p,MI0000698
chr1,miRNA,162223438,162223459,+,MIMAT0000661,MIMAT0000661,mmu-miR-214-3p,MI0000698
chr1,miRNA_primary_transcript,164217678,164217740,+,MI0040616,MI0040616,mmu-mir-12178,NA
chr1,miRNA,164217678,164217701,+,MIMAT0049822,MIMAT0049822,mmu-miR-12178-5p,MI0040616
chr1,miRNA,164217719,164217740,+,MIMAT0049823,MIMAT0049823,mmu-miR-12178-3p,MI0040616
chr1,miRNA_primary_transcript,167290125,167290225,+,MI0021875,MI0021875,mmu-mir-6347,NA
chr1,miRNA,167290125,167290146,+,MIMAT0025090,MIMAT0025090,mmu-miR-6347,MI0021875
chr1,miRNA_primary_transcript,168490643,168490762,+,MI0021876,MI0021876,mmu-mir-6348,NA
chr1,miRNA,168490740,168490761,+,MIMAT0025091,MIMAT0025091,mmu-miR-6348,MI0021876
chr1,miRNA_primary_transcript,169018974,169019089,-,MI0021882,MI0021882,mmu-mir-6354,NA
chr1,miRNA,169019041,169019061,-,MIMAT0025097,MIMAT0025097,mmu-miR-6354,MI0021882
chr1,miRNA_primary_transcript,171064591,171064652,-,MI0024983,MI0024983,mmu-mir-6546,NA
chr1,miRNA,171064629,171064652,-,MIMAT0029792,MIMAT0029792,mmu-miR-6546-5p,MI0024983
chr1,miRNA,171064591,171064611,-,MIMAT0029793,MIMAT0029793,mmu-miR-6546-3p,MI0024983
chr1,miRNA_primary_transcript,171641840,171641900,-,MI0025031,MI0025031,mmu-mir-7683,NA
chr1,miRNA,171641879,171641900,-,MIMAT0029886,MIMAT0029886,mmu-miR-7683-5p,MI0025031
chr1,miRNA,171641840,171641860,-,MIMAT0029887,MIMAT0029887,mmu-miR-7683-3p,MI0025031
chr1,miRNA_primary_transcript,176772325,176772423,-,MI0000640,MI0000640,mmu-mir-350,NA
chr1,miRNA,176772382,176772400,-,MIMAT0017040,MIMAT0017040,mmu-miR-350-5p,MI0000640
chr1,miRNA,176772342,176772363,-,MIMAT0000605,MIMAT0000605,mmu-miR-350-3p,MI0000640
chr1,miRNA_primary_transcript,177579452,177579529,-,MI0040617,MI0040617,mmu-mir-12179,NA
chr1,miRNA,177579511,177579529,-,MIMAT0049824,MIMAT0049824,mmu-miR-12179-5p,MI0040617
chr1,miRNA_primary_transcript,180587201,180587267,+,MI0022751,MI0022751,mmu-mir-6904,NA
chr1,miRNA,180587206,180587227,+,MIMAT0027708,MIMAT0027708,mmu-miR-6904-5p,MI0022751
chr1,miRNA,180587243,180587260,+,MIMAT0027709,MIMAT0027709,mmu-miR-6904-3p,MI0022751
chr1,miRNA_primary_transcript,184822407,184822488,-,MI0009992,MI0009992,mmu-mir-1981,NA
chr1,miRNA,184822465,184822488,-,MIMAT0009458,MIMAT0009458,mmu-miR-1981-5p,MI0009992
chr1,miRNA,184822409,184822429,-,MIMAT0017351,MIMAT0017351,mmu-miR-1981-3p,MI0009992
chr1,miRNA_primary_transcript,185242975,185243043,+,MI0012531,MI0012531,mmu-mir-664,NA
chr1,miRNA,185242975,185242995,+,MIMAT0017353,MIMAT0017353,mmu-miR-664-5p,MI0012531
chr1,miRNA,185243012,185243033,+,MIMAT0012774,MIMAT0012774,mmu-miR-664-3p,MI0012531
chr1,miRNA_primary_transcript,185313319,185313385,+,MI0000236,MI0000236,mmu-mir-194-1,NA
chr1,miRNA,185313325,185313346,+,MIMAT0000224,MIMAT0000224,mmu-miR-194-5p,MI0000236
chr1,miRNA,185313360,185313381,+,MIMAT0016999,MIMAT0016999,mmu-miR-194-1-3p,MI0000236
chr1,miRNA_primary_transcript,185313581,185313692,+,MI0000974,MI0000974,mmu-mir-215,NA
chr1,miRNA,185313610,185313630,+,MIMAT0000904,MIMAT0000904,mmu-miR-215-5p,MI0000974
chr1,miRNA,185313647,185313667,+,MIMAT0017169,MIMAT0017169,mmu-miR-215-3p,MI0000974
chr1,miRNA_primary_transcript,191998554,191998634,-,MI0018015,MI0018015,mmu-mir-3473c,NA
chr1,miRNA,191998602,191998623,-,MIMAT0020614,MIMAT0020614,mmu-miR-3473c,MI0018015
chr1,miRNA_primary_transcript,193507463,193507530,-,MI0000248,MI0000248,mmu-mir-205,NA
chr1,miRNA,193507503,193507524,-,MIMAT0000238,MIMAT0000238,mmu-miR-205-5p,MI0000248
chr1,miRNA,193507467,193507488,-,MIMAT0017003,MIMAT0017003,mmu-miR-205-3p,MI0000248
chr1,miRNA_primary_transcript,194822001,194822064,+,MI0016967,MI0016967,mmu-mir-3962,NA
chr1,miRNA,194822035,194822054,+,MIMAT0019340,MIMAT0019340,mmu-miR-3962,MI0016967
chr1,miRNA_primary_transcript,195037040,195037120,+,MI0000712,MI0000712,mmu-mir-29b-2,NA
chr1,miRNA,195037050,195037074,+,MIMAT0017063,MIMAT0017063,mmu-miR-29b-2-5p,MI0000712
chr1,miRNA,195037091,195037113,+,MIMAT0000127,MIMAT0000127,mmu-miR-29b-3p,MI0000712
chr1,miRNA_primary_transcript,195037547,195037634,+,MI0000577,MI0000577,mmu-mir-29c,NA
chr1,miRNA,195037562,195037583,+,MIMAT0004632,MIMAT0004632,mmu-miR-29c-5p,MI0000577
chr1,miRNA,195037600,195037621,+,MIMAT0000536,MIMAT0000536,mmu-miR-29c-3p,MI0000577
chr10,miRNA_primary_transcript,7836381,7836474,+,MI0018012,MI0018012,mmu-mir-5104,NA
chr10,miRNA,7836441,7836464,+,MIMAT0020611,MIMAT0020611,mmu-miR-5104,MI0018012
chr10,miRNA_primary_transcript,20297581,20297688,-,MI0021950,MI0021950,mmu-mir-6413,NA
chr10,miRNA,20297593,20297613,-,MIMAT0025166,MIMAT0025166,mmu-miR-6413,MI0021950
chr10,miRNA_primary_transcript,22729372,22729432,-,MI0025003,MI0025003,mmu-mir-7663,NA
chr10,miRNA,22729410,22729432,-,MIMAT0029832,MIMAT0029832,mmu-miR-7663-5p,MI0025003
chr10,miRNA,22729372,22729393,-,MIMAT0029833,MIMAT0029833,mmu-miR-7663-3p,MI0025003
chr10,miRNA_primary_transcript,24910664,24910733,+,MI0022752,MI0022752,mmu-mir-6905,NA
chr10,miRNA,24910669,24910691,+,MIMAT0027710,MIMAT0027710,mmu-miR-6905-5p,MI0022752
chr10,miRNA,24910711,24910731,+,MIMAT0027711,MIMAT0027711,mmu-miR-6905-3p,MI0022752
chr10,miRNA_primary_transcript,41670739,41670793,+,MI0016997,MI0016997,mmu-mir-3473b,NA
chr10,miRNA,41670774,41670793,+,MIMAT0020367,MIMAT0020367,mmu-miR-3473b,MI0016997
chr10,miRNA_primary_transcript,44359676,44359768,+,MI0009918,MI0009918,mmu-mir-1929,NA
chr10,miRNA,44359692,44359714,+,MIMAT0009392,MIMAT0009392,mmu-miR-1929-5p,MI0009918
chr10,miRNA,44359734,44359755,+,MIMAT0022729,MIMAT0022729,mmu-miR-1929-3p,MI0009918
chr10,miRNA_primary_transcript,60126776,60126833,+,MI0022753,MI0022753,mmu-mir-6906,NA
chr10,miRNA,60126777,60126800,+,MIMAT0027712,MIMAT0027712,mmu-miR-6906-5p,MI0022753
chr10,miRNA,60126813,60126833,+,MIMAT0027713,MIMAT0027713,mmu-miR-6906-3p,MI0022753
chr10,miRNA_primary_transcript,60923023,60923113,+,MI0021945,MI0021945,mmu-mir-6408,NA
chr10,miRNA,60923077,60923100,+,MIMAT0025161,MIMAT0025161,mmu-miR-6408,MI0021945
chr10,miRNA_primary_transcript,60960723,60960844,+,MI0006295,MI0006295,mmu-mir-466j,NA
chr10,miRNA,60960802,60960824,+,MIMAT0005848,MIMAT0005848,mmu-miR-466j,MI0006295
chr10,miRNA_primary_transcript,61774737,61774821,+,MI0018017,MI0018017,mmu-mir-5108,NA
chr10,miRNA,61774795,61774813,+,MIMAT0020616,MIMAT0020616,mmu-miR-5108,MI0018017
chr10,miRNA_primary_transcript,62194167,62194227,-,MI0025002,MI0025002,mmu-mir-7662,NA
chr10,miRNA,62194206,62194227,-,MIMAT0029830,MIMAT0029830,mmu-miR-7662-5p,MI0025002
chr10,miRNA,62194167,62194190,-,MIMAT0029831,MIMAT0029831,mmu-miR-7662-3p,MI0025002
chr10,miRNA_primary_transcript,62682508,62682558,+,MI0023710,MI0023710,mmu-mir-7215,NA
chr10,miRNA,62682508,62682532,+,MIMAT0028398,MIMAT0028398,mmu-miR-7215-5p,MI0023710
chr10,miRNA,62682536,62682558,+,MIMAT0028399,MIMAT0028399,mmu-miR-7215-3p,MI0023710
chr10,miRNA_primary_transcript,76008926,76009017,+,MI0021946,MI0021946,mmu-mir-6409,NA
chr10,miRNA,76008993,76009015,+,MIMAT0025162,MIMAT0025162,mmu-miR-6409,MI0021946
chr10,miRNA_primary_transcript,76207326,76207409,-,MI0004635,MI0004635,mmu-mir-678,NA
chr10,miRNA,76207333,76207354,-,MIMAT0003452,MIMAT0003452,mmu-miR-678,MI0004635
chr10,miRNA_primary_transcript,77641224,77641307,+,MI0009919,MI0009919,mmu-mir-1930,NA
chr10,miRNA,77641236,77641257,+,MIMAT0009393,MIMAT0009393,mmu-miR-1930-5p,MI0009919
chr10,miRNA,77641274,77641295,+,MIMAT0017340,MIMAT0017340,mmu-miR-1930-3p,MI0009919
chr10,miRNA_primary_transcript,78340150,78340207,-,MI0024999,MI0024999,mmu-mir-7659,NA
chr10,miRNA,78340186,78340207,-,MIMAT0029824,MIMAT0029824,mmu-miR-7659-5p,MI0024999
chr10,miRNA,78340150,78340172,-,MIMAT0029825,MIMAT0029825,mmu-miR-7659-3p,MI0024999
chr10,miRNA_primary_transcript,78408475,78408545,-,MI0022754,MI0022754,mmu-mir-6907,NA
chr10,miRNA,78408522,78408543,-,MIMAT0027714,MIMAT0027714,mmu-miR-6907-5p,MI0022754
chr10,miRNA,78408477,78408499,-,MIMAT0027715,MIMAT0027715,mmu-miR-6907-3p,MI0022754
chr10,miRNA_primary_transcript,78434799,78434902,+,MI0021947,MI0021947,mmu-mir-6410,NA
chr10,miRNA,78434803,78434824,+,MIMAT0025163,MIMAT0025163,mmu-miR-6410,MI0021947
chr10,miRNA_primary_transcript,78445095,78445157,-,MI0022755,MI0022755,mmu-mir-6908,NA
chr10,miRNA,78445131,78445152,-,MIMAT0027716,MIMAT0027716,mmu-miR-6908-5p,MI0022755
chr10,miRNA,78445095,78445116,-,MIMAT0027717,MIMAT0027717,mmu-miR-6908-3p,MI0022755
chr10,miRNA_primary_transcript,79531029,79531090,-,MI0022756,MI0022756,mmu-mir-6909,NA
chr10,miRNA,79531064,79531085,-,MIMAT0027718,MIMAT0027718,mmu-miR-6909-5p,MI0022756
chr10,miRNA,79531029,79531050,-,MIMAT0027719,MIMAT0027719,mmu-miR-6909-3p,MI0022756
chr10,miRNA_primary_transcript,79862587,79862652,+,MI0022757,MI0022757,mmu-mir-6910,NA
chr10,miRNA,79862592,79862614,+,MIMAT0027720,MIMAT0027720,mmu-miR-6910-5p,MI0022757
chr10,miRNA,79862629,79862650,+,MIMAT0027721,MIMAT0027721,mmu-miR-6910-3p,MI0022757
chr10,miRNA_primary_transcript,80278164,80278232,+,MI0022758,MI0022758,mmu-mir-6911,NA
chr10,miRNA,80278169,80278191,+,MIMAT0027722,MIMAT0027722,mmu-miR-6911-5p,MI0022758
chr10,miRNA,80278212,80278232,+,MIMAT0027723,MIMAT0027723,mmu-miR-6911-3p,MI0022758
chr10,miRNA_primary_transcript,80609260,80609329,+,MI0022759,MI0022759,mmu-mir-6912,NA
chr10,miRNA,80609265,80609286,+,MIMAT0027724,MIMAT0027724,mmu-miR-6912-5p,MI0022759
chr10,miRNA,80609305,80609329,+,MIMAT0027725,MIMAT0027725,mmu-miR-6912-3p,MI0022759
chr10,miRNA_primary_transcript,80828797,80828870,+,MI0009993,MI0009993,mmu-mir-1982,NA
chr10,miRNA,80828808,80828827,+,MIMAT0009459,MIMAT0009459,mmu-miR-1982-5p,MI0009993
chr10,miRNA,80828848,80828870,+,MIMAT0009460,MIMAT0009460,mmu-miR-1982-3p,MI0009993
chr10,miRNA_primary_transcript,81104614,81104673,-,MI0019181,MI0019181,mmu-mir-5615-1,NA
chr10,miRNA,81104652,81104673,-,MIMAT0022355,MIMAT0022355,mmu-miR-5615-5p,MI0019181
chr10,miRNA,81104614,81104635,-,MIMAT0022356,MIMAT0022356,mmu-miR-5615-3p,MI0019181
chr10,miRNA_primary_transcript,81104616,81104675,+,MI0019182,MI0019182,mmu-mir-5615-2,NA
chr10,miRNA,81104616,81104637,+,MIMAT0022355_1,MIMAT0022355,mmu-miR-5615-5p,MI0019182
chr10,miRNA,81104654,81104675,+,MIMAT0022356_1,MIMAT0022356,mmu-miR-5615-3p,MI0019182
chr10,miRNA_primary_transcript,81271597,81271687,+,MI0014020,MI0014020,mmu-mir-3057,NA
chr10,miRNA,81271610,81271633,+,MIMAT0014822,MIMAT0014822,mmu-miR-3057-5p,MI0014020
chr10,miRNA,81271654,81271675,+,MIMAT0014823,MIMAT0014823,mmu-miR-3057-3p,MI0014020
chr10,miRNA_primary_transcript,81386347,81386412,+,MI0022760,MI0022760,mmu-mir-6913,NA
chr10,miRNA,81386352,81386373,+,MIMAT0027726,MIMAT0027726,mmu-miR-6913-5p,MI0022760
chr10,miRNA,81386390,81386412,+,MIMAT0027727,MIMAT0027727,mmu-miR-6913-3p,MI0022760
chr10,miRNA_primary_transcript,81416240,81416297,-,MI0025021,MI0025021,mmu-mir-1191b,NA
chr10,miRNA,81416276,81416297,-,MIMAT0029866,MIMAT0029866,mmu-miR-1191b-5p,MI0025021
chr10,miRNA,81416240,81416261,-,MIMAT0029867,MIMAT0029867,mmu-miR-1191b-3p,MI0025021
chr10,miRNA_primary_transcript,92072086,92072185,-,MI0000715,MI0000715,mmu-mir-135a-2,NA
chr10,miRNA,92072141,92072163,-,MIMAT0000147,MIMAT0000147,mmu-miR-135a-5p,MI0000715
chr10,miRNA,92072104,92072124,-,MIMAT0017064,MIMAT0017064,mmu-miR-135a-2-3p,MI0000715
chr10,miRNA_primary_transcript,92137140,92137223,-,MI0014021,MI0014021,mmu-mir-1251,NA
chr10,miRNA,92137190,92137210,-,MIMAT0014824,MIMAT0014824,mmu-miR-1251-5p,MI0014021
chr10,miRNA,92137152,92137172,-,MIMAT0014825,MIMAT0014825,mmu-miR-1251-3p,MI0014021
chr10,miRNA_primary_transcript,93162785,93162903,+,MI0009920,MI0009920,mmu-mir-1931,NA
chr10,miRNA,93162879,93162900,+,MIMAT0009394,MIMAT0009394,mmu-miR-1931,MI0009920
chr10,miRNA_primary_transcript,93433107,93433162,+,MI0025041,MI0025041,mmu-mir-7688,NA
chr10,miRNA,93433107,93433129,+,MIMAT0029906,MIMAT0029906,mmu-miR-7688-5p,MI0025041
chr10,miRNA,93433142,93433162,+,MIMAT0029907,MIMAT0029907,mmu-miR-7688-3p,MI0025041
chr10,miRNA_primary_transcript,93963768,93963863,-,MI0000609,MI0000609,mmu-mir-331,NA
chr10,miRNA,93963817,93963838,-,MIMAT0004643,MIMAT0004643,mmu-miR-331-5p,MI0000609
chr10,miRNA,93963783,93963803,-,MIMAT0000571,MIMAT0000571,mmu-miR-331-3p,MI0000609
chr10,miRNA_primary_transcript,94586137,94586199,-,MI0023706,MI0023706,mmu-mir-7211,NA
