"","category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"mmu05022","Human Diseases","Neurodegenerative disease","mmu05022","Pathways of neurodegeneration - multiple diseases - Mus musculus (house mouse)","133/1397","445/7573",1.02917108389698e-09,3.16236205779254e-08,2.65910232203048e-08,"12858/216795/66925/66108/11950/12313/53623/69875/68198/66043/29869/68349/641376/11951/12387/22335/67680/84682/226646/17991/12864/22411/67126/11740/54405/12867/228033/12315/14816/66414/75406/66594/26420/22333/26399/13385/67530/66945/407785/17993/22334/19056/105675/22418/66218/67130/66445/68194/11957/28080/68202/19132/78330/72900/20463/12322/16594/12369/67264/11947/13198/11946/12869/15461/22273/11949/227197/66495/67273/68375/67414/66046/73205/53598/595136/170731/67151/17992/22419/16974/16653/68197/70316/67003/104130/14082/66142/11739/12857/12866/19225/66916/19058/71679/26396/66091/67184/12314/110323/66377/17995/103199/66694/68342/407790/269881/12861/52639/218460/105000/14362/22272/26414/212398/14371/18750/26416/12043/12323/66052/66152/225887/12859/26413/13063/66576/20743/64704/230075/18951/22142/12865/19122",133
"mmu00020","Metabolism","Carbohydrate metabolism","mmu00020","Citrate cycle (TCA cycle) - Mus musculus (house mouse)","21/1397","31/7573",2.23582251181599e-09,5.92285022952267e-08,4.98028515095335e-08,"235339/66925/15929/78920/12974/67680/17448/17449/18293/13382/66945/68263/20916/11429/14194/170718/11428/18597/67834/56451/66052",21
"mmu01200","Metabolism","Global and overview maps","mmu01200","Carbon metabolism - Mus musculus (house mouse)","48/1397","113/7573",2.27801931904718e-09,5.92285022952267e-08,4.98028515095335e-08,"235339/66925/15929/78920/12974/67680/17448/17449/18293/56012/13382/66945/68263/14661/20916/11429/76282/21991/110460/17850/14718/21351/14194/170718/11532/11428/80911/100678/11409/18597/14719/110446/67834/18746/66904/18642/73724/68133/227095/110821/67078/56451/14433/66052/13808/18655/13806/328099",48
"mmu04820",NA,NA,"mmu04820","Cytoskeleton in muscle cells - Mus musculus (house mouse)","78/1397","226/7573",4.01334068893963e-09,9.68935109186854e-08,8.14738335348647e-08,"12833/16421/12842/20391/53867/18073/27222/16398/12343/21925/16773/109272/12834/24052/30794/67399/13003/21828/24131/18074/22330/15529/14199/12815/13367/14119/16412/12832/12825/14268/11931/22352/12831/16420/16401/241431/16410/14118/109674/12814/21827/71355/21916/22004/15530/12843/16651/17907/21953/12830/12826/12827/326618/12845/11459/22003/14201/109676/17882/208846/245026/320502/12835/170947/118449/11472/17879/17897/13808/381485/17901/11465/13806/12829/20743/11464/229665/12828",78
"mmu04510","Cellular Processes","Cellular community - eukaryotes","mmu04510","Focal adhesion - Mus musculus (house mouse)","71/1397","201/7573",6.70091955614837e-09,1.50994053998543e-07,1.2696479159018e-07,"12390/12444/12833/16421/12842/16777/12540/12387/19211/16398/22370/16775/16773/16000/12834/216148/26420/19878/20418/21828/22330/12824/22339/20662/13367/22340/15461/16412/18590/14268/226519/23928/16420/16401/16410/20779/21827/21923/18710/12843/13730/22323/17907/16202/12830/12826/12827/22341/12845/74769/81877/20663/11855/12643/18707/245026/238564/26414/12835/18750/12043/14784/12391/11465/16542/26413/12829/109905/12443/329251/12828",71
"mmu04260","Organismal Systems","Circulatory system","mmu04260","Cardiac muscle contraction - Mus musculus (house mouse)","36/1397","79/7573",2.56126166785428e-08,5.41066527334217e-07,4.54960954158326e-07,"12858/27222/84682/56808/12864/12867/66594/67530/66445/20463/12869/22273/11931/65973/22004/67003/66142/326618/12857/12866/22003/110323/15464/66694/319734/12861/22272/11936/66152/17897/236794/12859/66576/11464/12865/54378",36
"mmu05014","Human Diseases","Neurodegenerative disease","mmu05014","Amyotrophic lateral sclerosis - Mus musculus (house mouse)","100/1397","338/7573",2.38625242081684e-07,4.74443128374171e-06,3.98940033201576e-06,"12858/66925/66108/11950/69875/68198/66043/29869/68349/641376/11951/94232/67680/84682/226646/17991/12864/67126/54405/12867/18643/228033/66414/75406/66594/22333/26399/382562/67530/66945/407785/17993/19056/66218/67130/66445/68194/11957/28080/68202/19132/78330/72900/20463/16594/67264/11947/13198/11946/12869/22273/11949/227197/66495/67273/68375/66046/73205/53598/595136/67151/17992/68197/70316/67003/104130/66142/12857/12866/66916/19058/71679/66091/67184/110323/66377/17995/103199/66694/68342/407790/12861/52639/218460/105000/269254/22272/103172/26416/12043/66052/66152/225887/12859/11465/13063/66576/230075/22142/12865",100
"mmu04512","Environmental Information Processing","Signaling molecules and interaction","mmu04512","ECM-receptor interaction - Mus musculus (house mouse)","37/1397","89/7573",3.04372639392129e-07,5.71544178414109e-06,4.80588377987572e-06,"12833/16421/12842/16777/12505/16398/22370/16775/16773/12834/21828/12824/16412/14268/226519/23928/16420/16401/16410/21827/21923/15530/12843/12830/12826/12827/12845/81877/231470/12643/114249/245026/12835/75209/329872/12829/12828",37
"mmu00280","Metabolism","Amino acid metabolism","mmu00280","Valine, leucine and isoleucine degradation - Mus musculus (house mouse)","26/1397","55/7573",9.30336881997838e-07,1.6550203479751e-05,1.39163965728209e-05,"13171/257633/13382/67041/74147/110460/17850/97212/56357/15107/15356/11409/12035/66948/110446/66904/73724/113868/52538/227095/110821/231086/12039/11364/14204/208715",26
"mmu01210",NA,NA,"mmu01210","2-Oxocarboxylic acid metabolism - Mus musculus (house mouse)","18/1397","31/7573",9.85779213899665e-07,1.66596687149043e-05,1.40084414606795e-05,"235339/13171/15929/78920/12974/18293/13382/68263/11429/76282/14718/170718/11428/12035/18597/14719/67834/12039",18
"mmu00640","Metabolism","Carbohydrate metabolism","mmu00640","Propanoate metabolism - Mus musculus (house mouse)","17/1397","30/7573",3.15896909397039e-06,5.0844359702952e-05,4.27529651815542e-05,"13171/52665/13382/20916/74147/17850/97212/80911/11409/16832/66904/73724/227095/110821/56451/12039/16828",17
"mmu04926","Organismal Systems","Endocrine system","mmu04926","Relaxin signaling pathway - Mus musculus (house mouse)","42/1397","123/7573",2.14281855062887e-05,0.000329214850051164,0.000276823449124304,"12842/216148/26420/14706/20418/11512/14695/22339/20662/17126/22340/15461/12825/26427/14683/20779/18710/12843/16653/12830/12826/12827/22341/11513/17390/14697/74769/66066/26398/20663/26396/14701/14700/18707/26414/18750/26416/14784/26413/12829/14707/12828",42
"mmu04146","Cellular Processes","Transport and catabolism","mmu04146","Peroxisome - Mus musculus (house mouse)","32/1397","85/7573",2.26055229653958e-05,0.000332202902708861,0.000279335981723427,"19298/20656/170789/14081/18634/13850/28200/74147/67993/54683/111175/16922/12908/68603/19299/20280/15356/668173/80911/18631/67420/50790/11666/67528/14712/110959/113868/17855/228061/26874/70503/17527",32
"mmu01212","Metabolism","Global and overview maps","mmu01212","Fatty acid metabolism - Mus musculus (house mouse)","25/1397","61/7573",3.3655165561893e-05,0.00047397691499666,0.000398548013232944,"257633/54397/11370/14081/71147/74147/110460/20250/97212/56348/15107/20280/12896/19063/26922/80911/11409/50790/234309/110446/113868/52538/231086/11364/30963",25
"mmu00920","Metabolism","Energy metabolism","mmu00920","Sulfur metabolism - Mus musculus (house mouse)","8/1397","11/7573",0.000127716421904469,0.0016974582126372,0.00142732394086591,"59010/23827/23971/22117/211389/66071/242291/246221",8
"mmu00270","Metabolism","Amino acid metabolism","mmu00270","Cysteine and methionine metabolism - Mus musculus (house mouse)","21/1397","51/7573",0.0001305737086644,0.0016974582126372,0.00142732394086591,"56369/17448/17449/104923/13435/238505/14718/67870/16832/12035/14719/70266/108645/22117/232087/16828/100041585/20603/246221/14204/11702",21
"mmu04974","Organismal Systems","Digestive system","mmu04974","Protein digestion and absorption - Mus musculus (house mouse)","32/1397","93/7573",0.000169565998975594,0.00212271509828707,0.00178490525237468,"12833/12822/12842/53867/140709/27222/70008/12834/12824/12815/12832/12825/11931/12831/12814/71355/12819/12843/12830/12826/12827/12816/13482/107581/245026/12835/329941/11936/12829/12837/69700/12828",32
"mmu00630","Metabolism","Carbohydrate metabolism","mmu00630","Glyoxylate and dicarboxylate metabolism - Mus musculus (house mouse)","14/1397","30/7573",0.000372416688965255,0.004495601459652,0.00378016939927138,"12974/17448/17449/13382/11429/110460/17850/11428/110446/66904/73724/68133/110821/67078",14
"mmu00900","Metabolism","Metabolism of terpenoids and polyketides","mmu00900","Terpenoid backbone biosynthesis - Mus musculus (house mouse)","11/1397","22/7573",0.00077228218149928,0.00900108197747437,0.00756864569890402,"52014/110460/56075/68603/66881/110446/71365/17855/319554/110196/208715",11
"mmu00071","Metabolism","Lipid metabolism","mmu00071","Fatty acid degradation - Mus musculus (house mouse)","18/1397","46/7573",0.000810416015251272,0.00913068710516433,0.00767762540764363,"11370/14081/74147/110460/13177/97212/71519/15107/11532/12896/80911/11409/50790/110446/113868/52538/231086/11364",18
"mmu01240","Metabolism","Global and overview maps","mmu01240","Biosynthesis of cofactors - Mus musculus (house mouse)","42/1397","143/7573",0.000900368142328758,0.00938183942828427,0.00788880923586656,"17768/108841/103711/13382/18103/108156/217707/13361/71147/11564/54128/22247/54391/56248/11636/18041/230027/17025/106564/66588/11647/66454/77697/12035/12850/56749/15288/110119/74080/11655/75735/20751/18102/52064/108645/70383/319945/56316/232087/69568/331026/57028",42
"mmu01230","Metabolism","Global and overview maps","mmu01230","Biosynthesis of amino acids - Mus musculus (house mouse)","25/1397","73/7573",0.000915978405720062,0.00938183942828427,0.00788880923586656,"15929/12974/56012/238505/11429/76282/21991/56454/14718/21351/170718/11428/100678/12035/14719/67834/18746/18642/108645/232087/14433/13808/18655/13806/328099",25
"mmu05214","Human Diseases","Cancer: specific types","mmu05214","Glioma - Mus musculus (house mouse)","25/1397","73/7573",0.000915978405720062,0.00938183942828427,0.00788880923586656,"12313/19211/12315/16000/216148/20418/27015/20662/12322/15461/18590/13555/18710/16653/52163/74769/20663/26396/12314/18707/18750/12323/14784/26413/12443",25
"mmu04917","Organismal Systems","Endocrine system","mmu04917","Prolactin signaling pathway - Mus musculus (house mouse)","23/1397","66/7573",0.00110534118501513,0.0109617909755102,0.00921732657548351,"12444/13982/216148/26420/20418/20662/16452/15461/20779/18710/16653/74769/20663/26396/14430/56468/192157/18707/26414/26416/14784/26413/12443",23
"mmu05222","Human Diseases","Cancer: specific types","mmu05222","Small cell lung cancer - Mus musculus (house mouse)","29/1397","90/7573",0.00113509669864751,0.0109617909755102,0.00921732657548351,"16777/19211/16398/20183/218772/16775/16773/22031/27015/16412/14268/226519/23928/16410/13555/12448/18710/12830/12826/12827/74769/19225/18707/12043/13063/12829/12443/12579/12828",29
"mmu00515","Metabolism","Glycan biosynthesis and metabolism","mmu00515","Mannose type O-glycan biosynthesis - Mus musculus (house mouse)","11/1397","23/7573",0.00123561139477843,0.0116010180954197,0.00975482680088233,"16795/98388/246179/20441/53418/68273/74653/97884/75847/108902/215494",11
"mmu05205","Human Diseases","Cancer: overview","mmu05205","Proteoglycans in cancer - Mus musculus (house mouse)","54/1397","199/7573",0.00144724677545597,0.0130177005599116,0.0109460577738278,"12390/216795/12842/21844/12505/12540/12387/16398/22411/22370/13982/16000/19878/22418/15529/66911/22339/20662/15200/17126/12322/15461/16412/14268/16410/20779/18710/15530/12843/22419/16653/11733/17390/74769/109676/14733/20663/26396/17022/69253/18707/19247/14362/14371/18750/26416/12323/14784/12391/11465/16542/26413/12443/329251",54
"mmu04151","Environmental Information Processing","Signal transduction","mmu04151","PI3K-Akt signaling pathway - Mus musculus (house mouse)","83/1397","332/7573",0.0014635284653155,0.0130177005599116,0.0109460577738278,"12444/12833/16421/12842/16777/13637/14936/51792/19053/19211/16398/22370/26931/12539/16775/16773/16000/12834/15519/14706/21828/11600/12824/14695/22339/56716/20662/16452/22340/15461/16412/18590/14268/226519/226849/23928/16420/16401/16410/26427/21827/75778/13684/12448/21923/18710/12843/19713/16653/12830/12826/12827/22341/12845/14697/74769/66066/81877/20663/26396/14701/14164/14700/14745/12643/18707/14255/235542/245026/12835/14062/18750/14600/12043/14784/16542/26413/12829/14707/12443/78405/12828/100039830",83
"mmu04933","Human Diseases","Endocrine and metabolic disease","mmu04933","AGE-RAGE signaling pathway in diabetic complications - Mus musculus (house mouse)","31/1397","100/7573",0.00158639908476703,0.013748792067981,0.0115608030468853,"12842/12540/26420/22339/13367/17126/16452/22340/15461/12825/18802/14268/18710/12843/16653/12830/12826/12827/22341/17390/17127/74769/18707/26414/18750/26416/12043/26413/12829/12443/12828",31
"mmu00650","Metabolism","Carbohydrate metabolism","mmu00650","Butanoate metabolism - Mus musculus (house mouse)","11/1397","24/7573",0.00190486365382082,0.0160960978747859,0.0135345575403058,"217666/67041/74147/110460/97212/15107/15356/11409/110446/71911/208715",11
"mmu00620","Metabolism","Carbohydrate metabolism","mmu00620","Pyruvate metabolism - Mus musculus (house mouse)","16/1397","42/7573",0.00216900348181117,0.0178810530939555,0.0150354541743008,"235339/17448/17449/13382/68263/110460/109801/14194/11532/16832/18597/52815/110446/18746/75572/16828",16
"mmu00785","Metabolism","Metabolism of cofactors and vitamins","mmu00785","Lipoic acid metabolism - Mus musculus (house mouse)","9/1397","18/7573",0.00235367400224343,0.01894147173234,0.0159271173084142,"235339/13171/78920/18293/13382/68263/18597/68133/12039",9
"mmu05230","Human Diseases","Cancer: overview","mmu05230","Central carbon metabolism in cancer - Mus musculus (house mouse)","22/1397","66/7573",0.00268574792798702,0.0211112278990607,0.017751577492203,"228026/19211/56012/68263/80879/64384/15461/18710/19713/16832/16653/18597/18746/74769/18642/26396/319801/18707/14255/16828/26413/100126824",22
"mmu05211","Human Diseases","Cancer: specific types","mmu05211","Renal cell carcinoma - Mus musculus (house mouse)","22/1397","68/7573",0.00406772430866346,0.0312475185529147,0.026274774242563,"12540/11864/56438/22339/71745/20662/15461/14194/18710/16653/112405/23871/74769/22346/20663/26396/18707/19247/14784/26413/109905/67923",22
"mmu04912","Organismal Systems","Endocrine system","mmu04912","GnRH signaling pathway - Mus musculus (house mouse)","26/1397","85/7573",0.00446194885311255,0.0335141936078232,0.0281807295986056,"12313/12540/26407/12315/26420/26399/11512/20662/15200/12322/15461/14683/20779/16653/11513/17390/26398/20663/26396/12314/26414/18750/26416/12323/14784/26413",26
"mmu00062","Metabolism","Lipid metabolism","mmu00062","Fatty acid elongation - Mus musculus (house mouse)","11/1397","27/7573",0.00580654993905891,0.0426655191174329,0.0358757090056272,"54397/97212/56348/15107/75778/19063/26922/70025/52538/231086/30963",11
"mmu00240","Metabolism","Nucleotide metabolism","mmu00240","Pyrimidine metabolism - Mus musculus (house mouse)","18/1397","54/7573",0.00632399980177591,0.0454789772978778,0.0382414321719932,"69692/22245/68106/18103/12499/100862375/22247/76654/110074/66401/66588/20133/56749/103850/18605/18102/230718/67464",18
"mmu01522","Human Diseases","Drug resistance: antineoplastic","mmu01522","Endocrine resistance - Mus musculus (house mouse)","27/1397","92/7573",0.00705420012627363,0.0496733258891768,0.041768290221357,"13982/16000/216148/26420/20418/11512/20662/15200/15461/13555/14683/20779/18710/16653/11513/17390/59035/74769/20663/26396/18707/26414/26416/12043/14784/26413/12443",27
"mmu00230","Metabolism","Nucleotide metabolism","mmu00230","Purine metabolism - Mus musculus (house mouse)","34/1397","123/7573",0.00756640481591917,0.0512975426839033,0.0431340284168605,"69692/29863/14923/18103/12499/100862375/11564/11512/23984/224794/56248/72157/18582/11636/229363/109674/23971/66401/231327/67054/20133/11513/18577/103850/18605/18102/11534/230718/73707/229665/16434/241489/328099/67464",34
"mmu00130","Metabolism","Metabolism of cofactors and vitamins","mmu00130","Ubiquinone and other terpenoid-quinone biosynthesis - Mus musculus (house mouse)","6/1397","11/7573",0.00771379214853299,0.0512975426839033,0.0431340284168605,"217707/230027/12850/52064/56316/69568",6
"mmu04261","Organismal Systems","Circulatory system","mmu04261","Adrenergic signaling in cardiomyocytes - Mus musculus (house mouse)","40/1397","150/7573",0.00774016176591441,0.0512975426839033,0.0431340284168605,"12313/27222/51792/19053/56808/26931/20266/12315/67972/73086/64082/11512/12322/11931/226849/26427/14683/22004/320707/11513/326618/22003/12314/16526/319734/235542/11549/399548/56508/18750/26416/12043/12323/11936/17897/26413/11464/23828/54378/100039830",40
"mmu01232","Metabolism","Global and overview maps","mmu01232","Nucleotide metabolism - Mus musculus (house mouse)","24/1397","80/7573",0.00800863170643376,0.0520561060918194,0.0437718736991319,"69692/22245/68106/14923/18103/12499/100862375/11564/56248/11636/76654/110074/229363/109674/66588/20133/103850/18605/18102/11534/230718/229665/16434/67464",24
"mmu04066","Environmental Information Processing","Signal transduction","mmu04066","HIF-1 signaling pathway - Mus musculus (house mouse)","30/1397","106/7573",0.00820970915613971,0.0520845342875605,0.0437957778188768,"228026/16000/68263/11600/56438/22042/15980/22339/71745/12322/13684/18710/16832/18597/112405/74769/18642/22346/26396/18707/18750/12043/14433/12323/13808/18655/16828/26413/13806/67923",30
"mmu04360","Organismal Systems","Development and regeneration","mmu04360","Axon guidance - Mus musculus (house mouse)","46/1397","178/7573",0.00837303319448939,0.0520845342875605,0.0437957778188768,"13637/56513/13845/12540/107449/19878/20354/19056/22418/19876/13800/12322/15461/16412/18186/107448/13838/20779/22066/13841/18710/20348/18844/22419/16653/16202/140571/18846/74769/17973/270190/20187/19058/171171/20360/18707/19247/58220/12767/192198/241568/18750/268902/12323/20347/26413",46
"mmu05165","Human Diseases","Infectious disease: viral","mmu05165","Human papillomavirus infection - Mus musculus (house mouse)","77/1397","324/7573",0.00847529404087522,0.0520845342875605,0.0437957778188768,"216795/12444/12833/16421/12842/16777/56513/12540/12387/51792/19053/19211/16398/22411/22370/26931/54411/11973/16775/16773/12834/22031/21828/22418/12824/15205/22339/19106/20662/15461/16412/14268/226519/226849/23928/16420/16401/16410/26427/13555/14683/21827/12448/21923/18710/12843/22419/16653/14082/12830/12826/12827/12845/18746/74769/19225/56198/81877/20663/26396/21871/140494/12643/18707/235542/245026/58220/14362/12835/14371/14784/26413/12829/12443/110557/12828/100039830",77
"mmu01521","Human Diseases","Drug resistance: antineoplastic","mmu01521","EGFR tyrosine kinase inhibitor resistance - Mus musculus (house mouse)","23/1397","78/7573",0.0115930792396206,0.0690922087229252,0.0580968432114289,"26362/19211/16000/216148/20418/22339/20662/16452/15461/18590/20779/13684/18710/16653/74769/20663/26396/18707/18750/12043/14784/16542/26413",23
"mmu04370","Environmental Information Processing","Signal transduction","mmu04370","VEGF signaling pathway - Mus musculus (house mouse)","18/1397","57/7573",0.0116516446662921,0.0690922087229252,0.0580968432114289,"12540/17164/216148/19056/22339/15461/20779/18710/16653/74769/19225/19058/26396/18707/18750/26416/16542/26413",18
"mmu04922","Organismal Systems","Endocrine system","mmu04922","Glucagon signaling pathway - Mus musculus (house mouse)","27/1397","98/7573",0.0168442581609068,0.0981613665239052,0.0825399220225923,"12313/14936/241113/12315/56012/68263/19056/19013/12322/18639/18682/26427/14683/16832/18597/18746/19309/18642/19058/18679/12314/102093/235344/108097/12323/16828/19082",27
"mmu04980",NA,NA,"mmu04980","Cobalamin transport and metabolism - Mus musculus (house mouse)","7/1397","16/7573",0.0173408328014321,0.0993423980827806,0.0835330036821886,"54219/238505/17850/109129/67096/77697/109136",7
"mmu00970","Genetic Information Processing","Translation","mmu00970","Aminoacyl-tRNA biosynthesis - Mus musculus (house mouse)","14/1397","44/7573",0.0229607085078568,0.12934532459426,0.10876125082669,"70791/76563/69955/70120/224805/226539/107271/272396/102436/68915/230577/71941/214580/71984",14
"mmu00051","Metabolism","Carbohydrate metabolism","mmu00051","Fructose and mannose metabolism - Mus musculus (house mouse)","12/1397","36/7573",0.0236658689377155,0.131132191818817,0.110263755188666,"11677/54128/21991/18639/270198/18640/20322/110119/18642/319801/67861/331026",12
"mmu00450","Metabolism","Metabolism of other amino acids","mmu00450","Selenocompound metabolism - Mus musculus (house mouse)","7/1397","17/7573",0.0248833604848373,0.135654449094758,0.114066338385502,"50493/238505/50880/109079/23971/70266/214580",7
