"","category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"mmu04380","Organismal Systems","Development and regeneration","mmu04380","Osteoclast differentiation - Mus musculus (house mouse)","35/1364","129/7573",0.00634550848852155,0.0957594917358706,0.0850115969754083,"11651/19353/11652/21812/18412/17969/23797/15979/16416/53313/18035/19697/16177/14130/16176/14284/21682/16439/21937/22177/11937/21813/18018/18708/16440/16476/16477/12702/18733/246256/14131/18724/100038947/668101/14728",35
"mmu03082","Genetic Information Processing","Chromosome","mmu03082","ATP-dependent chromatin remodeling - Mus musculus (house mouse)","32/1364","117/7573",0.00776983104933577,0.112155822103456,0.0995676290075065,"78656/93760/56249/104457/116870/22632/83797/13831/52004/81601/68094/70088/75560/20586/77044/68142/217578/234366/210982/57376/207165/227195/235134/229542/100683/232440/21761/107932/227867/239985/330409/23942",32
"mmu05150","Human Diseases","Infectious disease: bacterial","mmu05150","Staphylococcus aureus infection - Mus musculus (house mouse)","20/1364","65/7573",0.00845885073511438,0.115528177078163,0.102561476163239,"16414/12266/12628/20344/14130/16409/12259/12262/12260/15894/14293/20345/12273/14289/50909/246256/14131/11537/12268/14962",20
"mmu03013","Genetic Information Processing","Translation","mmu03013","Nucleocytoplasmic transport - Mus musculus (house mouse)","30/1364","109/7573",0.00888135127573885,0.115528177078163,0.102561476163239,"74204/16211/75751/19386/108989/53319/22196/53817/74412/18949/57258/56215/225160/226747/51796/70572/230673/19826/68134/223921/331401/13627/231042/227699/107939/269966/72322/192160/72124/100042165",30
"mmu03250","Genetic Information Processing","Information processing in viruses","mmu03250","Viral life cycle - HIV-1 - Mus musculus (house mouse)","18/1364","57/7573",0.00911702318057504,0.115528177078163,0.102561476163239,"18519/19386/20924/80287/12455/26943/14534/12914/27632/15239/56045/24116/18550/269061/328572/432508/13716/268373",18
"mmu04923","Organismal Systems","Endocrine system","mmu04923","Regulation of lipolysis in adipocytes - Mus musculus (house mouse)","17/1364","53/7573",0.00939536379852532,0.115528177078163,0.102561476163239,"14679/11651/16890/11652/16337/23797/432530/210044/104110/66853/18160/14311/18166/18708/11555/19224/11770",17
"mmu03015","Genetic Information Processing","Translation","mmu03015","mRNA surveillance pathway - Mus musculus (house mouse)","26/1364","95/7573",0.0152792840797746,0.175203981921654,0.155539362517638,"67897/53319/53817/74412/18949/56215/54196/68188/225363/74320/51796/68991/66899/54188/233908/19826/269061/68134/19045/74737/230908/52432/432508/21770/70248/192160",26
"mmu04550","Cellular Processes","Cellular community - eukaryotes","mmu04550","Signaling pathways regulating pluripotency of stem cells - Mus musculus (house mouse)","34/1364","132/7573",0.01595393749123,0.175203981921654,0.155539362517638,"11651/16600/20848/11652/16001/15903/21386/23797/17268/13543/16195/12159/17869/56637/17128/22414/19712/244349/14182/17125/16453/69587/51869/22417/16324/14173/11906/14369/18708/14366/11480/12167/14184/11481",34
"mmu04141","Genetic Information Processing","Folding, sorting and degradation","mmu04141","Protein processing in endoplasmic reticulum - Mus musculus (house mouse)","41/1364","165/7573",0.0161757775999695,0.175203981921654,0.155539362517638,"99683/20832/17155/19358/12317/56085/18024/66530/140740/56709/12330/66397/22433/78943/50873/15516/74126/18453/67812/12334/226641/13418/69276/56228/19359/63958/26965/192193/56445/68292/77371/320011/218811/217365/17872/216440/11911/54609/240667/50762/12018",41
"mmu04520","Cellular Processes","Cellular community - eukaryotes","mmu04520","Adherens junction - Mus musculus (house mouse)","25/1364","91/7573",0.0163594079505159,0.175203981921654,0.155539362517638,"19353/16001/16337/21812/109711/12914/17128/21416/20411/19271/108100/19246/242687/21872/29875/14182/21813/380928/19354/19268/12385/69903/328572/13866/77446",25
"mmu01521","Human Diseases","Drug resistance: antineoplastic","mmu01521","EGFR tyrosine kinase inhibitor resistance - Mus musculus (house mouse)","22/1364","78/7573",0.0173128252162973,0.175792448407806,0.15606178045081,"11836/11651/109880/20848/11652/16001/12048/18803/23797/56637/12125/16194/20104/56717/14456/13685/14388/14173/18708/56484/14184/13866",22
"mmu05144","Human Diseases","Infectious disease: parasitic","mmu05144","Malaria - Mus musculus (house mouse)","16/1364","52/7573",0.0174733457754747,0.175792448407806,0.15606178045081,"16414/12491/18613/20344/20339/16176/17874/15894/13349/21898/21825/14934/15129/110257/15122/101488143",16
"mmu04659","Organismal Systems","Immune system","mmu04659","Th17 cell differentiation - Mus musculus (house mouse)","27/1364","101/7573",0.0185337714909041,0.178636221078594,0.158586372549164,"20848/21812/20181/18803/15979/20851/18035/15251/16195/12394/15516/17128/19697/16177/22637/18761/16176/16194/19885/56717/18036/16190/16453/19883/21813/18018/16476",27
"mmu05143","Human Diseases","Infectious disease: parasitic","mmu05143","African trypanosomiasis - Mus musculus (house mouse)","12/1364","36/7573",0.0198304680183629,0.178636221078594,0.158586372549164,"14102/18797/20339/16176/17874/15894/18798/15129/385643/110257/15122/101488143",12
"mmu05215","Human Diseases","Cancer: specific types","mmu05215","Prostate cancer - Mus musculus (house mouse)","26/1364","97/7573",0.0199058335353017,0.178636221078594,0.158586372549164,"11836/11651/109880/12576/11652/16001/17395/23797/18035/19645/12914/56637/12575/15516/19697/21416/16178/56717/14182/18708/11911/17392/56458/328572/14870/13866",26
"mmu03420","Genetic Information Processing","Replication and repair","mmu03420","Nucleotide excision repair - Mus musculus (house mouse)","17/1364","57/7573",0.0199082535539397,0.178636221078594,0.158586372549164,"68275/107986/13870/19358/14884/18972/13194/22590/19359/22591/67967/72584/99375/20021/71101/18971/16881",17
"mmu04068","Environmental Information Processing","Signal transduction","mmu04068","FoxO signaling pathway - Mus musculus (house mouse)","32/1364","125/7573",0.0206823071673637,0.180698052093809,0.16041678689368,"11836/11651/109880/12576/20848/11652/16001/16337/21812/56486/23797/93759/67731/27373/12914/12575/17128/216439/12125/108079/12452/57436/19651/21813/13197/18708/56458/13609/56484/328572/16598/12176",32
"mmu00310","Metabolism","Amino acid metabolism","mmu00310","Lysine degradation - Mus musculus (house mouse)","18/1364","62/7573",0.0222282158595842,0.18922481193287,0.16798651661764,"214162/75410/14055/110147/93747/209692/226830/56752/14013/69188/11669/231051/20937/233904/235626/381022/234135/110593",18
"mmu05210","Human Diseases","Cancer: specific types","mmu05210","Colorectal cancer - Mus musculus (house mouse)","23/1364","85/7573",0.0246558678573386,0.201466936997649,0.17885460481719,"11836/11651/19353/170770/107986/109880/11652/21812/23797/17869/56637/12575/17128/21416/19730/12125/56717/21813/19354/13197/18708/16476/12018",23
"mmu04152","Environmental Information Processing","Signal transduction","mmu04152","AMPK signaling pathway - Mus musculus (house mouse)","31/1364","122/7573",0.0248799530629627,0.201466936997649,0.17885460481719,"11651/12491/16890/11652/16001/16337/23797/93759/107476/56421/14120/11450/170768/64930/68365/74343/108079/19744/56717/68465/13685/13629/18708/52432/100705/56458/59021/56484/16847/21770/19326",31
"mmu05205","Human Diseases","Cancer: overview","mmu05205","Proteoglycans in cancer - Mus musculus (house mouse)","47/1364","199/7573",0.0259548471722639,0.204515885548668,0.181561344177638,"11836/11651/19353/109880/20848/11652/16001/83383/18803/17395/232807/23797/17931/16416/13207/15251/13039/14000/17869/12575/14102/12512/22414/20104/20544/56717/19303/16439/29875/14182/14388/12402/22417/14173/21898/21825/19045/14369/18708/16440/18793/16002/14366/22350/75705/13866/11735",47
"mmu05223","Human Diseases","Cancer: specific types","mmu05223","Non-small cell lung cancer - Mus musculus (house mouse)","20/1364","72/7573",0.0264885032487733,0.204515885548668,0.181561344177638,"11836/11651/107986/109880/20848/11652/56289/20181/18803/23797/20851/19645/12575/54354/16453/13197/18708/56484/12018/13866",20
"mmu04064","Environmental Information Processing","Signal transduction","mmu04064","NF-kappa B signaling pathway - Mus musculus (house mouse)","26/1364","100/7573",0.0288246673339961,0.217495217156516,0.193083896017199,"217069/59004/50930/12048/22196/16803/18803/18035/19766/19697/16177/22637/18761/16176/21937/16179/11796/117149/17874/240354/105844/245527/13197/15894/21898/266632",26
"mmu04668","Environmental Information Processing","Signal transduction","mmu04668","TNF signaling pathway - Mus musculus (house mouse)","28/1364","110/7573",0.0311752380628749,0.23000397859721,0.204188693745145,"17387/11651/11652/17395/23797/18035/13614/19766/26410/14102/19697/20339/16176/16396/21938/21937/14205/11796/15894/18708/11911/17392/16476/16477/12702/12051/257632/12608",28
"mmu04211","Organismal Systems","Aging","mmu04211","Longevity regulating pathway - Mus musculus (house mouse)","23/1364","87/7573",0.0319175446545001,0.230361409245523,0.204506006939589,"11651/11652/16001/16337/110147/23797/93759/432530/210044/104110/11450/19697/64930/108079/19744/56717/68465/13685/140742/18708/11911/56458/56484",23
"mmu01524","Human Diseases","Drug resistance: antineoplastic","mmu01524","Platinum drug resistance - Mus musculus (house mouse)","21/1364","79/7573",0.0370367676692746,0.260205988764898,0.231000877787481,"11651/170770/13870/68312/11652/12048/23797/19714/11783/12575/14102/14859/22590/11796/11977/14863/18708/12018/14862/14870/13866",21
"mmu04920","Organismal Systems","Endocrine system","mmu04920","Adipocytokine signaling pathway - Mus musculus (house mouse)","19/1364","70/7573",0.0376201429539612,0.260205988764898,0.231000877787481,"11651/12491/20848/11652/20181/23797/18035/11450/19697/18761/108079/21938/56717/68465/21937/18036/100705/12702/16847",19
"mmu04120","Genetic Information Processing","Folding, sorting and degradation","mmu04120","Ubiquitin mediated proteolysis - Mus musculus (house mouse)","34/1364","141/7573",0.0400530205850446,0.268664764906621,0.238510254197381,"107986/50868/59004/22196/22187/52717/78294/217232/217342/208650/50873/83814/28000/13194/74126/59026/56791/16396/56228/63958/59008/26965/76375/72584/99375/66894/11796/17999/231672/12402/17318/20437/12702/140630",34
"mmu05221","Human Diseases","Cancer: specific types","mmu05221","Acute myeloid leukemia - Mus musculus (house mouse)","18/1364","66/7573",0.0404615609799128,0.268664764906621,0.238510254197381,"11836/11651/109880/20848/11652/23797/20851/17869/12394/18712/19697/21416/56717/16409/13685/18708/18627/235320",18
"mmu05213","Human Diseases","Cancer: specific types","mmu05213","Endometrial cancer - Mus musculus (house mouse)","16/1364","58/7573",0.0467866075430542,0.304571641260667,0.270386999216825,"11836/11651/107986/109880/11652/23797/17869/56637/12575/21416/13197/12385/18708/56484/12018/13866",16
"mmu04610","Organismal Systems","Immune system","mmu04610","Complement and coagulation cascades - Mus musculus (house mouse)","22/1364","86/7573",0.0493579145660492,0.31513130069093,0.279761459078821,"16414/22371/17221/12062/12759/12274/12266/12628/19124/16409/12259/12262/12260/74145/278180/18793/12273/50909/385643/11537/12268/14962",22
"mmu05206","Human Diseases","Cancer: overview","mmu05206","MicroRNAs in cancer - Mus musculus (house mouse)","37/1364","159/7573",0.0538272329153355,0.337181911847008,0.299337144315669,"12576/20848/15368/15184/56289/22196/18132/18803/17395/93759/74747/16416/17869/22061/12914/12575/17250/18712/13078/18128/12531/12125/18129/18669/56717/108655/17210/171543/21825/18708/18754/22350/14184/17248/328572/12018/13866",37
"mmu04210","Cellular Processes","Cell growth and death","mmu04210","Apoptosis - Mus musculus (house mouse)","31/1364","130/7573",0.0550465146661709,0.338434127206828,0.300448812992746,"11651/170770/13163/11652/12048/13033/23797/11783/78943/18035/19766/13039/22143/14102/19697/12334/12125/12366/16439/21937/11796/13197/17210/18708/11911/16440/16476/328417/12018/12983/12984",31
"mmu04148",NA,NA,"mmu04148","Efferocytosis - Mus musculus (house mouse)","37/1364","160/7573",0.0583318560473847,0.352112294686031,0.312591764464454,"19353/22259/12491/12317/17289/11303/11863/20181/93759/16416/18613/53313/15251/50769/16889/68365/80743/11937/14456/319520/18018/192188/12259/12262/12260/21825/13609/12642/12608/56632/330662/22260/320940/105722/100038947/19349/668101",37
"mmu03008","Genetic Information Processing","Translation","mmu03008","Ribosome biogenesis in eukaryotes - Mus musculus (house mouse)","19/1364","74/7573",0.0624643122952909,0.370324137179225,0.328759538396268,"53319/69237/208366/71340/14000/21453/237107/66711/55989/24128/230737/67973/104444/24127/101592/72515/30877/66932/72554",19
"mmu05219","Human Diseases","Cancer: specific types","mmu05219","Bladder cancer - Mus musculus (house mouse)","11/1364","38/7573",0.0667235075837794,0.386709243108708,0.343305605803545,"11836/109880/56289/17395/69635/19645/17869/12575/21825/14184/13866",11
"mmu04150","Environmental Information Processing","Signal transduction","mmu04150","mTOR signaling pathway - Mus musculus (house mouse)","35/1364","152/7573",0.0675576388563405,0.386709243108708,0.343305605803545,"11651/109880/11652/16001/16337/17254/23797/74747/14783/17168/14245/13543/97998/56637/64898/16973/64930/22414/20104/108079/19744/56717/21937/110651/13685/108664/22417/14369/18708/56430/14366/78757/75705/329679/72124",35
"mmu05162","Human Diseases","Infectious disease: viral","mmu05162","Measles - Mus musculus (house mouse)","30/1364","128/7573",0.0707567415340969,0.38925942928563,0.345569563094408,"11651/170770/12576/20848/11652/27103/12048/17221/23797/11783/14694/20851/18035/68135/208650/56637/14102/19697/14130/16176/18036/16179/16453/17874/246727/21898/18708/16476/12018/266632",30
"mmu04710","Organismal Systems","Environmental adaptation","mmu04710","Circadian rhythm - Mus musculus (house mouse)","10/1364","34/7573",0.0713682822249221,0.38925942928563,0.345569563094408,"18626/27373/19885/108079/26965/19883/213311/18627/18030/12953",10
"mmu05414","Human Diseases","Cardiovascular disease","mmu05414","Dilated cardiomyopathy - Mus musculus (house mouse)","24/1364","99/7573",0.071520557790432,0.38925942928563,0.345569563094408,"13726/20392/432530/16416/12299/192897/53313/12295/210044/104110/16404/13346/21956/59069/11937/11606/16399/13138/13405/22138/140781/20541/20649/21924",24
"mmu05133","Human Diseases","Infectious disease: bacterial","mmu05133","Pertussis - Mus musculus (house mouse)","18/1364","71/7573",0.0760086310919158,0.400780845699233,0.3557978338484,"14679/16414/12266/19697/16176/16409/16179/117149/17874/216799/12259/12262/12260/21898/16476/50909/266632/12268",18
"mmu05134","Human Diseases","Infectious disease: bacterial","mmu05134","Legionellosis - Mus musculus (house mouse)","15/1364","57/7573",0.0760517869850955,0.400780845699233,0.3557978338484,"16414/11783/12750/66397/18035/15499/12266/19697/12747/16176/16409/17874/13627/21898/12176",15
"mmu05417","Human Diseases","Cardiovascular disease","mmu05417","Lipid and atherosclerosis - Mus musculus (house mouse)","43/1364","195/7573",0.0842148181454778,0.435205612258147,0.386358818745343,"11651/19353/12491/20848/11652/12048/11303/18024/20181/17969/16803/18803/17395/23797/11783/22433/78943/18035/56637/15516/14102/19697/18797/18986/20344/20339/226641/16176/21937/16179/117149/17874/216799/18018/15894/21898/18798/18708/11911/17392/16476/266632/15512",43
"mmu05410","Human Diseases","Cardiovascular disease","mmu05410","Hypertrophic cardiomyopathy - Mus musculus (house mouse)","23/1364","96/7573",0.085205918062589,0.435205612258147,0.386358818745343,"13726/20392/16416/12299/192897/53313/12295/13614/16404/13346/21956/59069/108079/11937/11606/16399/13138/13405/22138/140781/20541/20649/21924",23
"mmu04979","Organismal Systems","Digestive system","mmu04979","Cholesterol metabolism - Mus musculus (house mouse)","13/1364","49/7573",0.0894477794412301,0.449949435977097,0.399447818876307,"57875/12491/11816/11303/59045/67963/18145/16889/104086/20778/218203/11812/20661",13
"mmu00410","Metabolism","Metabolism of other amino acids","mmu00410","beta-Alanine metabolism - Mus musculus (house mouse)","9/1364","31/7573",0.0908784094079498,0.450123513618229,0.399602358316754,"11430/104776/246277/93747/56752/11669/99586/621603/237940",9
"mmu01522","Human Diseases","Drug resistance: antineoplastic","mmu01522","Endocrine resistance - Mus musculus (house mouse)","22/1364","92/7573",0.0922842128713578,0.450123513618229,0.399602358316754,"11836/20683/11651/109880/12576/11652/16001/18132/17395/20185/23797/432530/210044/19645/104110/12575/18128/18129/56717/18708/16476/13866",22
"mmu03410","Genetic Information Processing","Replication and repair","mmu03410","Base excision repair - Mus musculus (house mouse)","12/1364","45/7573",0.0971218621592317,0.450123513618229,0.399602358316754,"268395/18972/16882/67967/382913/18971/18975/100206/22594/328417/16881/15289",12
"mmu04213","Organismal Systems","Aging","mmu04213","Longevity regulating pathway - multiple species - Mus musculus (house mouse)","15/1364","59/7573",0.097301962983842,0.450123513618229,0.399602358316754,"11651/11652/16001/16337/23797/93759/432530/210044/104110/20655/108079/56717/18708/56458/56484",15
"mmu04630","Environmental Information Processing","Signal transduction","mmu04630","JAK-STAT signaling pathway - Mus musculus (house mouse)","31/1364","137/7573",0.0979969569699464,0.450123513618229,0.399602358316754,"11651/20848/11652/59004/19116/12048/16164/23797/15979/20851/16195/18414/17869/12914/12575/18712/16194/12986/56717/16190/16453/17210/18708/12702/328572/16847/11761/71724/12983/12984/213043",31
"mmu04621","Organismal Systems","Immune system","mmu04621","NOD-like receptor signaling pathway - Mus musculus (house mouse)","35/1364","157/7573",0.0980133913145677,0.450123513618229,0.399602358316754,"12048/28240/56486/18035/19766/59079/67955/15516/72512/19697/18797/59125/16176/66734/57436/16439/18036/67443/11796/17874/246727/216799/12363/56338/21898/18798/192656/16440/268749/16476/257632/266632/24014/15951/378425",35
"mmu05216","Human Diseases","Cancer: specific types","mmu05216","Thyroid cancer - Mus musculus (house mouse)","10/1364","36/7573",0.0989729412473818,0.450123513618229,0.399602358316754,"107986/109880/108989/20181/17869/12575/21416/59069/13197/12018",10
"mmu05169","Human Diseases","Infectious disease: viral","mmu05169","Epstein-Barr virus infection - Mus musculus (house mouse)","43/1364","198/7573",0.101892435510877,0.455093179425217,0.404014236648893,"11651/19353/19182/107986/12576/12317/20848/11652/19185/21762/22123/69077/23797/11783/18035/66354/19179/19766/19645/17869/12575/14102/19697/70247/12125/19181/57296/18036/16179/16453/17999/17874/246727/13197/15894/56436/19664/18708/66935/12495/16476/12018/266632",43
"mmu05140","Human Diseases","Infectious disease: parasitic","mmu05140","Leishmaniasis - Mus musculus (house mouse)","17/1364","69/7573",0.102928323020255,0.455093179425217,0.404014236648893,"16414/17969/15979/18035/12266/19697/16176/18036/16409/16179/17874/13627/21898/16476/246256/14131/266632",17
"mmu04371","Environmental Information Processing","Signal transduction","mmu04371","Apelin signaling pathway - Mus musculus (house mouse)","30/1364","133/7573",0.105517720192315,0.455093179425217,0.404014236648893,"14679/11651/16890/11652/21812/15184/23797/432530/210044/104110/107589/17128/18797/66734/20104/108079/20544/56717/16439/20190/213435/67443/18798/16440/14702/18754/20541/16598/56632/18181",30
"mmu00860","Metabolism","Metabolism of cofactors and vitamins","mmu00860","Porphyrin metabolism - Mus musculus (house mouse)","11/1364","41/7573",0.105548719324523,0.455093179425217,0.404014236648893,"12870/15368/14319/11656/107508/244698/233016/14325/94284/394432/394435",11
