"","Name","Chromosome","Type","Start","End","Strand","Alias","Derivation","pvalue","padj","ATG7.vs.GFP_LFC","ATG7.vs.GFP_pvalue","ATG7.vs.GFP_FDR","ATG14.vs.GFP_LFC","ATG14.vs.GFP_pvalue","ATG14.vs.GFP_FDR","ATG7.vs.ATG14_LFC","ATG7.vs.ATG14_pvalue","ATG7.vs.ATG14_FDR","cluster"
"MIMAT0000131","mmu-miR-99a-5p","chr16","miRNA",77598940,77598961,"+","MIMAT0000131","MI0000146",0.00307895666034109,0.00994739844110197,-0.19404195202631,0.16692984908828,0.448519713686001,-0.728695734525749,0.000628812848573456,0.00353408740210904,0.413931620302502,0.0415712380224317,0.0946104037751894,2
"MIMAT0000132","mmu-miR-99b-5p","chr17","miRNA",17830194,17830215,"+","MIMAT0000132","MI0000147",2.90764894497453e-25,2.23888968763039e-23,0.827866025120578,3.12709634528153e-05,0.000459359670031011,-1.47955196774825,2.11767265094581e-12,7.23266659246107e-11,2.41713464918145,4.62533313038164e-29,5.34225976559079e-27,2
"MIMAT0000133","mmu-miR-101a-3p","chr4","miRNA",101346957,101346977,"-","MIMAT0000133","MI0000148",0.039766538987291,0.0927885909703458,-0.720874924671164,0.0102518174471879,0.0727879038750343,-0.244440159440494,0.365626611283968,0.590756596590724,-0.609833193012641,0.0981580010846175,0.191830905666368,4
"MIMAT0000135","mmu-miR-125a-5p","chr17","miRNA",17830817,17830840,"+","MIMAT0000135","MI0000151",3.59421058185758e-17,1.03782830551138e-15,0.868663574876242,0.0011259303664843,0.0106588074693848,-1.90588645353447,6.269331318848e-10,1.4650437397729e-08,3.10196013080308,3.91125100367909e-21,2.00777551522193e-19,2
"MIMAT0000136","mmu-miR-125b-5p","chr16","miRNA",77646279,77646300,"+","MIMAT0000136","MI0000152",3.09281946980335e-13,5.7155303801966e-12,0.394244856782792,0.0565640764058045,0.221066940815346,-1.98227083405706,4.50278339140016e-10,1.11068656987871e-08,2.74460659646051,3.907265373154e-16,1.00286477910953e-14,2
"MIMAT0000139","mmu-miR-127-3p","chr12","miRNA",109592888,109592909,"+","MIMAT0000139","MI0000154",4.43722777298916e-13,7.88461242738843e-12,0.0420186679431497,0.774038730876538,0.949928542137282,1.79873245267821,1.40983844880241e-10,3.68216630157805e-09,-1.7806689856265,8.47383113986875e-10,1.08747499628316e-08,1
"MIMAT0000140","mmu-miR-128-3p","chr1","miRNA",128202404,128202424,"+","MIMAT0000140","MI0000155",0.0030492069694294,0.00994739844110197,0.202015652295704,0.176635936949516,0.45625880029911,-0.443061444450922,0.03772867056095,0.113955984551441,0.834621404470557,0.000613050897582543,0.00257481376984668,2
"MIMAT0000141","mmu-miR-130a-3p","chr2","miRNA",84741116,84741137,"-","MIMAT0000141","MI0000156",0.00116377846491613,0.00413588962147117,-0.814442694125842,0.00111795114093966,0.0106588074693848,0.0258702949720122,0.875919486448419,0.946248788280044,-1.00386658881447,0.000637713176078573,0.00265426565178649,4
"MIMAT0000144","mmu-miR-132-3p","chr11","miRNA",75173723,75173744,"+","MIMAT0000144","MI0000158",7.62505790328472e-13,1.30473213011761e-11,0.0717110770644492,0.650986081671041,0.888846380743152,-2.42555601559285,6.5143625423759e-13,2.41031414067908e-11,2.67724311474208,2.2185987305865e-14,4.65905733423166e-13,2
"MIMAT0000145","mmu-miR-133a-3p","chr18","miRNA",10782913,10782934,"-","MIMAT0000145","MI0000159",1.33967563822576e-67,3.0946507243015e-65,0.224422681877141,0.255139181910386,0.58435102953669,6.53616186744482,1.80555697646402e-48,2.67222432516675e-46,-6.0044181623428,2.45074232597594e-48,5.66121477300443e-46,1
"MIMAT0000150","mmu-miR-138-5p","chr8","miRNA",94324312,94324334,"+","MIMAT0000150","MI0000164",0.0305151865403052,0.0749894477745799,0.48463291429632,0.0216646014336561,0.126426304256678,0.0199931997641629,0.905913382182932,0.959965493291699,0.616081045635782,0.0304725434641297,0.072196487591938,3
"MIMAT0000151","mmu-miR-140-5p","chr8","miRNA",107551249,107551270,"+","MIMAT0000151","MI0000165",0.752942531882147,0.8318234856474,-0.0487386079731376,0.713903590995557,0.926609787523618,-0.100502822876643,0.45110356815503,0.668409532929966,0.0610294895960869,0.69824184225774,0.786799344202624,NA
"MIMAT0000152","mmu-miR-140-3p","chr8","miRNA",107551288,107551308,"+","MIMAT0000152","MI0000165",0.0474585925231498,0.10592207606616,-0.16283467364041,0.310546820458955,0.645025415344662,0.323122984960732,0.151960949980851,0.31825783863914,-0.717775186187705,0.0144250634660078,0.0394341971674297,NA
"MIMAT0000154","mmu-miR-142a-5p","chr11","miRNA",87756867,87756887,"+","MIMAT0000154","MI0000167",0.0833824160423153,0.168959106191007,-0.0299572487090818,0.845869535006103,0.955810137699204,0.478263256531816,0.0741409496015065,0.195943938232553,-0.608287238440377,0.0476394518008933,0.105308261875659,NA
"MIMAT0000156","mmu-miR-144-3p","chr11","miRNA",78073047,78073066,"+","MIMAT0000156","MI0000168",5.67009636740362e-09,5.0376625418086e-08,-0.589300113361705,0.0337536167215535,0.167380052783944,1.81379761765384,6.93721145461606e-05,0.000550021765330274,-3.4064939761019,1.7522148229288e-09,2.07570063639258e-08,1
"MIMAT0000157","mmu-miR-145a-5p","chr18","miRNA",61647866,61647888,"-","MIMAT0000157","MI0000169",0.0945320482265222,0.18664019778057,0.351689239680085,0.0349690720604953,0.167380052783944,0.0896050010524886,0.499588468295141,0.707917563818971,0.282050911960946,0.152440517158236,0.273959604986746,NA
"MIMAT0000158","mmu-miR-146a-5p","chr11","miRNA",43374435,43374456,"-","MIMAT0000158","MI0000170",3.15832440442951e-46,3.64786468711608e-44,1.39005381844779,4.45954828163555e-09,2.1108528533075e-07,3.84642179551394,2.33334112820393e-49,5.18001730461273e-47,-2.24835590187132,3.51226185142947e-19,1.24820382720032e-17,1
"MIMAT0000159","mmu-miR-149-5p","chr1","miRNA",92850381,92850403,"+","MIMAT0000159","MI0000171",1.04389966629483e-16,2.67934247682339e-15,0.979684345316076,1.54869011174817e-06,3.47232625055117e-05,-0.807445011035778,0.000140167064046899,0.000972933979518734,1.87102177984959,7.33024020281973e-18,2.25771398246848e-16,3
"MIMAT0000160","mmu-miR-150-5p","chr7","miRNA",45121762,45121783,"+","MIMAT0000160","MI0000172",0.38518881683843,0.532806087962139,0.0197121969665718,0.889068400860147,0.971597278585677,-0.210324683861443,0.255067075085622,0.46224400546129,0.290155667301743,0.200853458466516,0.337961557985097,NA
"MIMAT0000161","mmu-miR-151-3p","chr15","miRNA",73254820,73254840,"-","MIMAT0000161","MI0000173",0.875526119790485,0.915142686296842,0.0530569535131386,0.691853521034212,0.914050219811757,0.0618363002926078,0.626760781547483,0.801964804054993,-0.0142272248586251,0.927623512852526,0.955796556860188,NA
"MIMAT0000162","mmu-miR-152-3p","chr11","miRNA",96850439,96850459,"+","MIMAT0000162","MI0000174",0.284584273829795,0.437868945977392,-0.126041751427864,0.414170054146098,0.707721233295138,0.14126054408473,0.440012643993706,0.657796679909783,-0.416038089470744,0.112193322716809,0.2150759962455,NA
"MIMAT0000165","mmu-miR-155-5p","chr16","miRNA",84714143,84714165,"+","MIMAT0000165","MI0000177",1.55868739035664e-07,1.1805140563029e-06,1.00002340542133,6.17510048737648e-07,1.54740753389552e-05,1.08514574493155,1.85004256228388e-07,2.34691113615441e-06,-0.0317282295636117,0.817307229332242,0.88223350455957,1
"MIMAT0000208","mmu-miR-10b-5p","chr2","miRNA",74726074,74726096,"+","MIMAT0000208","MI0000221",1.7991686273313e-12,2.6813416317002e-11,0.0100816803730012,0.938249710853317,0.981380961775757,-1.50381710715737,7.55901655374079e-12,2.09762709366307e-10,1.55440575977982,4.37788757606392e-12,7.77916946208282e-11,2
"MIMAT0000209","mmu-miR-129-5p","chr2","miRNA",94241419,94241439,"-","MIMAT0000209","MI0000585",1.95219398443764e-06,1.21880219028404e-05,1.3033587310486,2.53123024918965e-07,7.1886939076986e-06,1.02642326468214,0.000106216662311296,0.0007606483559067,0.279688387473237,0.210106354590424,0.348020922519392,3
"MIMAT0000210","mmu-miR-181a-5p","chr1","miRNA",137966468,137966490,"+","MIMAT0000210","MI0000697",1.22991529672011e-17,4.05872047917638e-16,-1.86079581506554,9.39271140762673e-19,1.333765019883e-16,-0.150544691450311,0.267329974742902,0.474778035143394,-1.66724370750716,1.07574925955205e-14,2.36664837101451e-13,4
"MIMAT0000211","mmu-miR-182-5p","chr6","miRNA",30165962,30165986,"-","MIMAT0000211","MI0000224",4.70597107652736e-05,0.000226474858057879,0.582514287574427,0.0114916457646682,0.0802531327171913,-0.503731720056126,0.0545111760979417,0.155147193509526,1.38151391531984,8.62830174013024e-06,5.61447239991573e-05,3
"MIMAT0000212","mmu-miR-183-5p","chr6","miRNA",30169711,30169732,"-","MIMAT0000212","MI0000225",1.16039703500144e-10,1.30756934187967e-09,1.12582811717451,1.37406578199945e-05,0.000225135393512217,-0.56446566059678,0.0263248323130131,0.0899094272844448,1.87949171996363,5.21533348235547e-11,8.60530024588652e-10,3
"MIMAT0000214","mmu-miR-185-5p","chr16","miRNA",18327438,18327459,"-","MIMAT0000214","MI0000227",0.000510297282882292,0.00201502004009931,1.06463365711032,0.000535042272848922,0.00555921971301562,0.100057338974056,0.659656573865044,0.813576441100221,1.10724482377856,0.00254541725645006,0.00886249632795759,3
"MIMAT0000215","mmu-miR-186-5p","chr3","miRNA",157544285,157544306,"+","MIMAT0000215","MI0000228",0.000808877675207451,0.00301372166085357,-0.170365048214231,0.288531986204615,0.61581391749327,0.699533941482796,0.0108295014311908,0.0429312378165064,-1.06946733884092,0.000305548988355536,0.00137052070505104,1
"MIMAT0000216","mmu-miR-187-3p","chr18","miRNA",24429110,24429131,"-","MIMAT0000216","MI0000229",0.000759567793523716,0.00287396108370669,-0.134431198160856,0.414221944038087,0.707721233295138,-1.22230435418699,0.000164408428249009,0.00110602033549333,1.00905613043465,0.00292347711514256,0.0100794509492229,2
"MIMAT0000217","mmu-miR-188-5p","chrX","miRNA",7248031,7248051,"-","MIMAT0000217","MI0000230",0.0989849315340426,0.193775586308168,-0.0796446200467815,0.674107064927772,0.903445760626344,0.590892451592437,0.116759092063169,0.26860640868418,-0.958959015671077,0.0463774409968162,0.103509071210286,NA
"MIMAT0000220","mmu-miR-190a-5p","chr9","miRNA",67236700,67236721,"-","MIMAT0000220","MI0000232",0.560549347883851,0.686933153109654,-0.20634968229033,0.281024000183968,0.613447983028535,-0.124073527633141,0.631147665220054,0.802950038274224,-0.193720299234766,0.5572291806072,0.677473372211912,NA
"MIMAT0000221","mmu-miR-191-5p","chr9","miRNA",108568325,108568347,"+","MIMAT0000221","MI0000233",1.23966788458362e-06,7.95453559274487e-06,0.296955195414261,0.0470372360910276,0.197770184366115,-0.676394269273029,0.000986538958532629,0.00527738912757214,1.11147613622351,1.2930185185859e-07,1.17132265801311e-06,2
"MIMAT0000223","mmu-miR-193a-3p","chr11","miRNA",79712009,79712030,"+","MIMAT0000223","MI0000235",0.491416116365767,0.632407369807756,0.146832333041898,0.389222692224962,0.696257486563556,0.289750523259153,0.24490885734253,0.451201380332296,-0.0810291187227447,0.761477270071387,0.839624102083486,NA
"MIMAT0000224","mmu-miR-194-5p","chr1","miRNA",185313325,185313346,"+","MIMAT0000224","MI0000236",0.000896574635028578,0.00328744032843812,0.177457831875887,0.274632584586454,0.603059180586749,-0.753176267213232,0.00741924336022133,0.031674462037868,1.13416969816844,0.000164300725541212,0.000766736719192322,2
"MIMAT0000225","mmu-miR-195a-5p","chr11","miRNA",70235062,70235082,"+","MIMAT0000225","MI0000237",5.22310595807108e-06,2.97910487978869e-05,1.8360602721304,2.56866238718571e-06,5.21071512829101e-05,0.445739431110926,0.160375881197921,0.328253257074836,1.37086030819824,0.00106193093720149,0.00419326575202639,3
"MIMAT0000229","mmu-miR-199a-5p","chr1","miRNA",162217844,162217866,"+","MIMAT0000229","MI0000713",0.737009428889286,0.823103317191483,0.0191417457702508,0.896160164969396,0.971597278585677,-0.106585110510613,0.543821923604292,0.749531151239625,0.16527234605826,0.460773525860599,0.606488230619934,NA
"MIMAT0000230","mmu-miR-199a-3p","chr1","miRNA",162217883,162217904,"+","MIMAT0000230","MI0000713",0.151411646375135,0.265977873100047,-0.223386168305033,0.166514400519779,0.448519713686001,-0.41754601549191,0.0651003644640389,0.178423221123662,0.0903406804491566,0.644739374916595,0.742816935689444,NA
"MIMAT0000233","mmu-miR-200b-3p","chr4","miRNA",156055685,156055706,"-","MIMAT0000233","MI0000243",0.236936834516659,0.37487951214622,-0.113770346819475,0.557396351968856,0.826610741955685,0.414041718072513,0.285957474931892,0.490917669301183,-0.947745257129703,0.0984067632963838,0.191830905666368,NA
"MIMAT0000237","mmu-miR-204-5p","chr19","miRNA",22750610,22750631,"+","MIMAT0000237","MI0000247",0.00708687008088645,0.0207223669453768,0.210164418181604,0.285354034660303,0.613943529117621,-0.814971619625767,0.0312322427505062,0.0990508270087481,1.43509855585614,0.00140959087232669,0.00529456083751977,2
"MIMAT0000239","mmu-miR-206-3p","chr1","miRNA",20679055,20679076,"+","MIMAT0000239","MI0000249",0.0469459470322099,0.105286541402335,0.120447588852344,0.477628513766886,0.762058977021324,-0.524389542320222,0.078251176662521,0.201997223477671,0.883222499482355,0.0135462035434755,0.037560157100715,NA
"MIMAT0000247","mmu-miR-143-3p","chr18","miRNA",61649199,61649219,"-","MIMAT0000247","MI0000257",0.507654595703332,0.644330833008075,0.162658988560953,0.254814804559609,0.58435102953669,0.0481378240339987,0.702264543118611,0.840445976131168,0.129722060040459,0.449384053957592,0.598315368669763,NA
"MIMAT0000248","mmu-miR-30e-5p","chr4","miRNA",120772660,120772681,"-","MIMAT0000248","MI0000259",3.4711689878394e-05,0.000170604263019341,-0.189674263168005,0.315827168989225,0.645025415344662,1.21412280110615,0.0012820053014223,0.00661872504455232,-1.75162195464987,2.40259645983271e-05,0.000127586156832496,1
"MIMAT0000374","mmu-miR-296-5p","chr2","miRNA",174267093,174267113,"-","MIMAT0000374","MI0000394",0.98496726539576,0.993569599591356,0.0225215445856896,0.886562049514629,0.971597278585677,0.0323150136600161,0.874354340375115,0.946248788280044,-0.00419876810256476,0.987019480834513,0.992626934502244,NA
"MIMAT0000376","mmu-miR-298-5p","chr2","miRNA",174267553,174267575,"-","MIMAT0000376","MI0000398",0.0155377222912846,0.0429845969974459,0.473064849742552,0.0444138094867984,0.193064110626287,1.02720406633283,0.0035778965556749,0.0165477715699964,-0.285811003980053,0.363344440647509,0.513252101780241,1
"MIMAT0000379","mmu-miR-301a-3p","chr11","miRNA",87113054,87113076,"+","MIMAT0000379","MI0000401",0.826061364808384,0.875321904911636,0.00966832275303032,0.942274053165525,0.981380961775757,-0.0646532756536132,0.61823667847807,0.79564372534569,0.0953818640534506,0.568027647502022,0.680007349764494,NA
"MIMAT0000381","mmu-miR-34c-5p","chr9","miRNA",51103076,51103098,"-","MIMAT0000381","MI0000403",0.00553900775603398,0.0168356683111033,-0.671228374798493,0.0043052021499448,0.0350127201950823,-0.699391996008891,0.0102895892718465,0.0415325239699985,-0.0608401926723602,0.774207102075847,0.845587898721137,4
"MIMAT0000382","mmu-miR-34b-5p","chr9","miRNA",51103610,51103632,"-","MIMAT0000382","MI0000404",0.00070065155297195,0.00267521502043836,-0.750200235745733,0.000654585893426612,0.00663937120475564,-0.72434556123065,0.00279005200246344,0.0133202482698255,-0.071156897910696,0.68687266603699,0.781613723421402,4
"MIMAT0000383","mmu-let-7d-5p","chr13","miRNA",48536078,48536099,"-","MIMAT0000383","MI0000405",0.296411701843243,0.444617552764865,0.217231581863832,0.190703199751173,0.472323041244185,-0.00721447451830071,0.964635999762381,0.986168479850239,0.336056120228563,0.176116628386648,0.307041065338232,NA
"MIMAT0000384","mmu-let-7d-3p","chr13","miRNA",48536024,48536045,"-","MIMAT0000384","MI0000405",0.0456569584693651,0.102895194209008,0.221565354215706,0.189843939307886,0.472323041244185,-0.245608445383477,0.240066743283613,0.447855605117328,0.728664421133712,0.0129789964692633,0.0363411901139371,NA
"MIMAT0000385","mmu-miR-106a-5p","chrX","miRNA",52742541,52742563,"-","MIMAT0000385","MI0000406",0.404499069458068,0.551264218553473,-0.0657366556352155,0.718555744692208,0.926609787523618,0.345275634920882,0.359137070117236,0.588401694214218,-0.737484063934604,0.201167594038748,0.337961557985097,NA
"MIMAT0000386","mmu-miR-106b-5p","chr5","miRNA",138165787,138165807,"-","MIMAT0000386","MI0000407",0.26433025650089,0.411180399001385,-0.05719030938156,0.765735303204227,0.949928542137282,0.469932498630817,0.229641501692738,0.433875858517344,-0.81749051828498,0.133796750403512,0.246528787569864,NA
"MIMAT0000387","mmu-miR-130b-3p","chr16","miRNA",17124071,17124092,"-","MIMAT0000387","MI0000408",0.00227290374765362,0.00766482869646694,-0.261778793397973,0.165452278960802,0.448519713686001,0.621135288287104,0.039225909329297,0.117677727987891,-1.20571630928246,0.000563578860389949,0.00238874709633171,1
"MIMAT0000513","mmu-miR-19b-3p","chr14","miRNA",115044358,115044380,"+","MIMAT0000513","MI0000718",0.00831071449155969,0.024148113805664,-0.447938016532134,0.0301797949860774,0.156066921241066,0.181144533006296,0.352532476131674,0.579720071860976,-0.924682747758971,0.00195281574220257,0.00704844431951241,4
"MIMAT0000514","mmu-miR-30c-5p","chr1","miRNA",23291714,23291736,"+","MIMAT0000514","MI0000548",8.0902403963533e-10,8.12541535459832e-09,-0.112662145924263,0.415120047629024,0.707721233295138,1.15207246312136,6.55205040360983e-07,7.65555362948096e-06,-1.37477075066566,6.93322211408683e-09,7.62654432549551e-08,1
"MIMAT0000515","mmu-miR-30d-5p","chr15","miRNA",68341257,68341278,"-","MIMAT0000515","MI0000549",0.134054630692936,0.241926716328658,0.280886250296382,0.116465891687965,0.373148090666914,-0.0423347302399833,0.804954988710132,0.911734732110456,0.502723509272194,0.0692897427555467,0.148892377456105,NA
"MIMAT0000516","mmu-miR-148a-3p","chr6","miRNA",51269829,51269850,"-","MIMAT0000516","MI0000550",1.10262503480808e-12,1.69804255360444e-11,-1.45043873681642,5.21058618288958e-10,3.17101387701566e-08,0.22066790046064,0.195626884582815,0.382635844734668,-1.85304444520463,6.62330173649831e-14,1.27498558427592e-12,4
"MIMAT0000517","mmu-miR-192-5p","chr19","miRNA",6264857,6264877,"+","MIMAT0000517","MI0000551",0.118569070491493,0.218242671581951,0.298951654638972,0.0677914533755144,0.253325957350606,0.0177907025139905,0.890813425905808,0.948491993050788,0.368539503986813,0.0917287577439107,0.182050649043988,NA
"MIMAT0000518","mmu-miR-196a-5p","chr11","miRNA",96265187,96265208,"+","MIMAT0000518","MI0000552",5.68852696197543e-05,0.000262809945643265,0.945584859451557,0.000204774317552566,0.00242316275770536,1.19502178767908,1.76723654315524e-05,0.000156930605032185,-0.126558673012647,0.551055823260084,0.675200187439967,1
"MIMAT0000519","mmu-miR-200a-3p","chr4","miRNA",156054911,156054932,"-","MIMAT0000519","MI0000554",0.67352725120203,0.774053706605318,0.00900440587990522,0.959096549072268,NA,0.280718895918393,0.440541869522212,NA,-0.40387430392142,0.467997819601412,0.609433176383115,NA
"MIMAT0000521","mmu-let-7a-5p","chr13","miRNA",48538239,48538260,"-","MIMAT0000521","MI0000556",0.482546891022053,0.62799060183715,-0.107564979305722,0.427149964268209,0.722086844358163,0.0479141098525785,0.690468294366382,0.837617275132988,-0.2158749467161,0.233147866905717,0.374008036494587,NA
"MIMAT0000522","mmu-let-7b-5p","chr15","miRNA",85707325,85707346,"+","MIMAT0000522","MI0000558",1.17722685761858e-06,7.66026490450401e-06,0.991888196157855,2.32080576141172e-06,4.94331627180697e-05,1.05110632206086,1.5836476586825e-06,1.66366109312321e-05,-0.0113165172676311,0.938437847292119,0.957082307834347,1
"MIMAT0000523","mmu-let-7c-5p","chr15","miRNA",85706616,85706637,"+","MIMAT0000523","MI0000560",0.0502969540635177,0.110653298939739,0.45256489006752,0.0155069285359213,0.0994357891446632,0.335045847221635,0.0900697319896668,0.2185298415487,0.131885921953157,0.468287397437242,0.609433176383115,NA
"MIMAT0000524","mmu-let-7e-5p","chr17","miRNA",17830366,17830387,"+","MIMAT0000524","MI0000561",0.0447336868567041,0.101807701122154,0.480353411622851,0.0196556652806943,0.116296019577441,0.0849445992806936,0.607803911139092,0.792152980396914,0.47538743289976,0.0688723628927015,0.148687063815084,NA
"MIMAT0000525","mmu-let-7f-5p","chr13","miRNA",48537889,48537910,"-","MIMAT0000525","MI0000562",0.214310875793426,0.34775117074475,-0.183482203346805,0.205951528851479,0.501344864518457,0.0567872414072106,0.654964192571451,0.812301959502024,-0.359527507852232,0.0869613996808401,0.179024749181934,NA
"MIMAT0000526","mmu-miR-15a-5p","chr14","miRNA",61632075,61632096,"-","MIMAT0000526","MI0000564",0.00627545265476752,0.0185849944006577,-0.481133322135823,0.0158385697296187,0.0994357891446632,0.114657952737796,0.474116290024994,0.692459318325978,-0.835562410292835,0.00176294375788824,0.00641322847357769,4
"MIMAT0000527","mmu-miR-16-5p","chr14","miRNA",61631936,61631957,"-","MIMAT0000527","MI0000565",0.0127256074803764,0.0354757990441041,-0.284262436254495,0.0675636656769036,0.253325957350606,0.16890070776881,0.256478832761225,0.462913015227577,-0.673499312757201,0.00305026271171461,0.0103619218589129,1
"MIMAT0000528","mmu-miR-18a-5p","chr14","miRNA",115043867,115043889,"+","MIMAT0000528","MI0000567",0.0302818136988062,0.0748138926676389,0.0066444903570529,0.964775568383838,0.985162360635259,0.629653611136838,0.0239162514501909,0.0829594972178497,-0.663382695126028,0.0266427219515404,0.0644850792505323,1
"MIMAT0000529","mmu-miR-20a-5p","chr14","miRNA",115044183,115044205,"+","MIMAT0000529","MI0000568",0.293864113191279,0.443410345575868,-0.176073837115859,0.289114515255056,0.61581391749327,0.092061253739105,0.624569220394592,0.801470329061268,-0.434293074397946,0.121309183547088,0.22875446040308,NA
"MIMAT0000530","mmu-miR-21a-5p","chr11","miRNA",86584120,86584141,"-","MIMAT0000530","MI0000569",4.35268768907807e-05,0.000211678074984639,0.979786014963781,0.000478873604247519,0.00510000388523607,-0.0951368395933699,0.630202786180961,0.802950038274224,1.30687896078173,7.07538379423e-05,0.000344087085572028,3
"MIMAT0000531","mmu-miR-22-3p","chr11","miRNA",75463772,75463793,"+","MIMAT0000531","MI0000570",0.0127354975158566,0.0354757990441041,0.500742342785573,0.0124512665751758,0.0841942787464271,-0.000605459486353494,0.996609134988715,1,0.645947847135987,0.0123069737209573,0.0348823426937564,3
"MIMAT0000532","mmu-miR-23a-3p","chr8","miRNA",84208563,84208583,"+","MIMAT0000532","MI0000571",1.29593168552778e-16,3.15116020375702e-15,0.0163279986540885,0.900991330064305,0.971597278585677,-1.81399890528977,5.42693921281556e-16,3.44223001498587e-14,1.88405433083324,1.93626596551621e-16,5.59096797542807e-15,2
"MIMAT0000533","mmu-miR-26a-5p","chr10","miRNA",126995543,126995564,"+","MIMAT0000533","MI0000706",1.15889996684227e-05,6.0842248259219e-05,0.153645522598624,0.263001247907375,0.592796463537258,-0.780509286340796,0.00030814884070025,0.00187422034617686,1.04629093215018,2.27123892052163e-06,1.54310644306028e-05,2
"MIMAT0000534","mmu-miR-26b-5p","chr1","miRNA",74394324,74394344,"+","MIMAT0000534","MI0000575",0.0044726914550699,0.0139620503529885,-0.222461043721404,0.145799441790667,0.431323348630723,0.367600566184659,0.0684475564914927,0.185685485581843,-0.801794206182917,0.00105076092654357,0.00418492713847524,1
"MIMAT0000535","mmu-miR-29a-3p","chr6","miRNA",31062673,31062694,"-","MIMAT0000535","MI0000576",0.196023068901592,0.321358982435989,-0.246085653737482,0.117375221007902,0.373148090666914,-0.283288118981423,0.129475401363913,0.287052435617059,-0.00837289625838969,0.960419087226571,0.975194765491595,NA
"MIMAT0000536","mmu-miR-29c-3p","chr1","miRNA",195037600,195037621,"+","MIMAT0000536","MI0000577",2.99310666751201e-07,2.12740812367777e-06,-0.463475352645887,0.0123212369538665,0.0841942787464271,-1.32060818239775,2.63420936520435e-08,4.49841906981051e-07,0.742815241958757,0.00211072909535213,0.00755935536474948,2
